year,inc.num,inc.lo.num,inc.hi.num,pop,inc,inc.lo,inc.hi,inc.sd,inc.nh.num,inc.nh.lo.num,inc.nh.hi.num,inc.nh,inc.nh.lo,inc.nh.hi,inc.nh.sd,inc.h.num,inc.h.lo.num,inc.h.hi.num,inc.h,inc.h.lo,inc.h.hi,inc.h.sd,mort.nh.num,mort.nh.lo.num,mort.nh.hi.num,mort.nh,mort.nh.lo,mort.nh.hi,mort.nh.sd,mort.h.num,mort.h.lo.num,mort.h.hi.num,mort.h,mort.h.lo,mort.h.hi,mort.h.sd,mort.num,mort.lo.num,mort.hi.num,mort,mort.lo,mort.hi,mort.sd,tbhiv,tbhiv.lo,tbhiv.hi,tbhiv.sd,c.newinc,newinc,cfr,cfr.lo,cfr.hi,cfr.sd
2000,10633901.2508049,8062784.73578359,13554710.2086878,6117972024,173.814152942994,131.788519204638,221.55560953065,22.9351260770143,8842689.14598705,6600648.18321737,11406968.4434939,145.187581465518,108.375645689298,187.29032908682,20.1656855886026,1778389.76228382,1245815.25854648,2404224.84837297,29.1992745901512,20.4549658316653,39.4748232434457,4.86386928779363,1737529.56390501,1633344.19383247,1844889.5323333,28.4004169533452,26.6974773245951,30.1552462988722,0.882174803820129,677986.46549969,538030.267334426,833876.176537608,11.0818824087465,8.79425837881905,13.6299442571235,1.23495829172392,2416211.48507794,2237530.49229651,2601655.7319999,39.49366678369,36.5730749261189,42.5248059617459,1.51852357291297,0.170916305401957,0.106898182396693,0.246230829048979,0.0356990769227587,3748455,61.2695675183754,0.231173948948755,0.172894817448862,0.295070374556247,0.031228783616487
2001,10778912.9046535,8189037.23877081,13718499.6433632,6196893809,173.94057792307,132.147451467985,221.377032852157,22.7973297772399,9100295.89158579,6801557.99047582,11727981.8559234,147.508884348491,110.248088958767,190.101677993367,20.4053348620918,1663091.35041294,1182761.3538201,2223974.00933674,26.95744760298,19.1716631888672,36.0489294903726,4.31515587029793,1732678.88936011,1631477.28658938,1836881.83597875,27.9604418401307,26.3273397426936,29.6419769741895,0.84565412472352,660066.329698604,523185.788609348,812610.495537519,10.6515675440487,8.44271024701931,13.1131905852143,1.19278001570523,2392585.81776989,2218183.59506135,2573491.32535624,38.6094371069429,35.7950880462047,41.5287304361849,1.46287498235556,0.157643007084228,0.100105760690852,0.225283426495001,0.0320630740724015,3848055,62.0965134889243,0.225782049436127,0.169279568372904,0.287761642323174,0.0302833936751235
2002,10908656.1344207,8304661.18999674,13861642.6962086,6276734777,173.795078523846,132.30862040607,220.841618909917,22.618886180114,9306016.33211651,6964481.98507017,11981103.7801639,148.918599199052,111.448429096814,191.726419568262,20.5134960017842,1588223.528394,1138312.95792287,2111871.81833239,25.4153887788867,18.215739699379,33.7950183677022,3.98291913646169,1721821.29863574,1622926.56590211,1823598.74083744,27.4317994914339,25.856223395786,29.0533024833183,0.815659653017758,617977.726475732,488886.261671454,761963.447620299,9.845528741157,7.78886282502955,12.1394877223805,1.11111214211118,2341218.41507892,2174598.30917046,2513899.20540077,37.2999417413319,34.6453751262344,40.0510662743393,1.37919360421362,0.148714682604048,0.095243666830537,0.211565092187799,0.0297898534489149,4101395,65.3428119191661,0.218255524063426,0.164098195284617,0.277711938475095,0.0290375836811337
2003,11044461.8275901,8431775.51082555,14003692.1788838,6355936462,173.766082993768,132.659845818729,220.324609325583,22.3964272159218,9466818.1733108,7100063.43082617,12168220.4617667,149.57333989366,112.179211786225,192.254814839473,20.4613132668357,1563840.22386473,1117584.87301463,2083871.93691095,24.7082811839506,17.6575591725947,32.9246511138425,3.90324177599339,1691863.0182536,1596487.58841354,1789965.63480236,26.6186269854753,25.1180545614073,28.1621071183445,0.776616285884042,614020.264624575,483523.246388149,759869.345336016,9.66057902396594,7.60742731270161,11.9552696896676,1.11044774505083,2305935.3323546,2140107.45661741,2477860.70055965,36.2800249206551,33.6710014238246,38.984982234702,1.35579836196496,0.144554909422303,0.092554042525782,0.205755059794179,0.0289904830464294,4525143,71.1955354974724,0.212254979502611,0.160009551326899,0.269640745297605,0.02801847143317
2004,11108183.1271369,8501528.17416556,14057407.3626055,6435710463,172.602282079029,132.099295377601,218.428213068689,22.054598247644,9540006.80355645,7169881.49831714,12242835.4388808,148.693346847243,111.751878005523,190.820427468518,20.2035416252237,1555605.20375274,1101521.08510432,2086812.52782594,24.2461194087149,17.1686310229787,32.5256727164511,3.92667347272076,1641053.7012312,1549212.35660486,1735501.64319105,25.4991847545954,24.0721263877787,26.9667452128052,0.738491080932929,605400.796866189,477457.685231583,748300.340096402,9.40689921255379,7.41888075879997,11.6273151876317,1.07482788860565,2241367.39574145,2079872.78980837,2408812.10360383,34.8270390445228,32.3176874063231,37.4288451516348,1.30405111945925,0.142767433014994,0.0908628500303379,0.204005892336548,0.0289781567744777,4826950,75.0025972695783,0.205070629245203,0.154989966279838,0.260118602920726,0.0268665515972932
2005,11159494.392802,8576665.2223934,14076455.3953274,6516277492,171.255665623547,131.619091312838,216.019888849255,21.5611212150948,9559909.78626992,7216355.59891427,12227410.0603192,146.854248549339,110.853815824225,187.830968728568,19.6682490199443,1597953.41139912,1121213.85574495,2157804.37070238,24.5469102422808,17.2234907995692,33.147042855058,4.07198262371655,1617858.52036082,1529531.1396072,1708629.70132019,24.8279561812255,23.4724678543079,26.2209475182398,0.701204724637987,643620.703291212,507419.961405122,795766.910501544,9.87712239206175,7.78696060792498,12.2119862372114,1.13014860380724,2256729.86214584,2090039.23411687,2429722.49509278,34.6321939929111,32.0741287749455,37.286970944312,1.33000318514498,0.145606860653144,0.09217325080406,0.208708813532644,0.0298497908854456,5148430,79.0087593157397,0.205430540751019,0.155781575086832,0.259942799435001,0.0266183083226354
2006,11167855.7289943,8629106.89200926,14028379.5921577,6597730533,169.268139599455,130.789016751274,212.624318650053,20.9046434406658,9515130.15547782,7221916.76257242,12119188.6107111,144.275412055203,109.50402146088,183.760064446251,18.9719150585955,1651097.82021143,1156054.96705261,2232956.91113297,25.0351613127764,17.5289569353876,33.8577374340756,4.17571770281635,1563256.43012876,1479939.10270991,1648822.65546412,23.6938508220332,22.4310328423944,24.9907547332704,0.65304580032343,655663.275889934,521968.167100272,804370.728334928,9.93770922608145,7.91132897122023,12.1916274742003,1.09309049255266,2219045.88631534,2057358.20159329,2386760.54935855,33.633472528414,31.1828164442751,36.1754778771374,1.27382181206427,0.150158233807373,0.0951602504205941,0.214998128199788,0.0306955602256765,5416209,82.0920007707141,0.201729989616566,0.153826405801095,0.25427363147612,0.0256673929534829
2007,11131505.8290108,8656998.73401341,13911776.2636211,6680020882,166.638787896693,129.595384309959,208.259472677814,20.0933123581664,9554279.76665962,7316530.89427721,12085572.7298901,143.08495488538,109.572413462115,180.99361449041,18.2459898178198,1575617.87907151,1120579.70161278,2106964.57528085,23.5964634330952,16.7818087774914,31.5539149535032,3.77691027279759,1537101.62294561,1456861.42985126,1619461.97399159,23.0104314057983,21.8092346653725,24.2433669384986,0.621003202739084,640053.78815362,523790.902209847,767794.299858433,9.58161358265077,7.84115665897475,11.4938907141343,0.932610776997129,2176941.41611827,2032644.47081975,2326114.621398,32.5888414807844,30.4287143217908,34.8219663154939,1.12086446462432,0.1436613025335,0.092692076564827,0.203510562147017,0.0283769255951583,5594219,83.7455316206301,0.198409199262497,0.152589502741588,0.248563525862402,0.0245218740761776
2008,11079095.7887849,8707850.67434753,13731043.9530251,6763040153,163.81827607323,128.756453863206,203.030643651201,18.9701185667172,9485267.65097085,7323149.34353631,11922363.5079231,140.305846211879,108.323845292405,176.355308292599,17.3786172333016,1592221.39528928,1175319.87329941,2071412.72485328,23.5520997870687,17.3853027095164,30.6402861689248,3.38755906146121,1497386.63471523,1421384.11113343,1575340.30142272,22.1407325823876,21.0169402957474,23.2933749583598,0.580768857441045,608361.567134898,497565.790850698,730127.038739942,8.99538600055533,7.35713199381176,10.7958406607429,0.877970148530283,2105200.61568798,1967910.083048,2247053.31389119,31.1280218372523,29.0980097489893,33.2254912444136,1.05305402839042,0.145697563665456,0.0976478602697355,0.201380482728934,0.0265477599284604,5742609,84.9116502354736,0.192563592393697,0.149673021427024,0.239402425939618,0.0229235016473346
2009,11056731.0674064,8770643.22671929,13603116.9449595,6846605069,161.492169563993,128.102075968,198.684118740127,18.025621145936,9469704.06021147,7373883.9620714,11823281.9290813,138.353283009186,107.733150708258,172.739281019839,16.6044353452845,1586090.15116815,1198481.18520133,2027159.69708762,23.1729289708921,17.5099248659773,29.61699726757,3.09341524148686,1466340.83250879,1391334.95022173,1543287.665034,21.4170500230556,20.3215306885658,22.5409184476213,0.566215470914512,592744.521756361,487780.300428062,707783.872434717,8.65749544164865,7.12441123026986,10.337734764919,0.820385638662669,2059171.00820573,1927517.89339116,2195110.27872473,30.0757965072241,28.1529002179278,32.061295439162,0.997154078080979,0.145280336520132,0.0998676800654987,0.19746609180466,0.0249689965140702,5851936,85.4720834782241,0.188557166992961,0.14792964213658,0.23282092134335,0.0216852603986065
2010,10933417.3205913,8736327.18316087,13372813.1074137,6930531776,157.757264146065,126.055654393134,192.955079633614,17.0840413705324,9416189.33016498,7390894.63967769,11682647.7967354,135.903088022556,106.672175926177,168.614697112132,15.8207234225132,1516278.10439216,1153244.46053603,1928216.88233417,21.8843174730718,16.6446826774889,27.8297960563467,2.85765847003503,1432404.3717951,1356974.59565489,1509845.18372276,20.6680297860465,19.5796605442891,21.7854160766027,0.562739677519741,570843.98060981,469572.033776815,681856.41589998,8.23665483486573,6.77541130974846,9.83844296423554,0.78201737205997,2003942.38005145,1875151.37293208,2136949.03900336,28.9146986814342,27.0563851885885,30.833839423455,0.963747918750681,0.140348301460612,0.0974864023197266,0.189485946331084,0.0235330670999029,5794510,83.6084471911092,0.185435476897012,0.146488853458418,0.227793355055997,0.0207674915655594
2011,10882002.6719164,8776575.86071171,13210007.9714144,7014796132,155.129279128656,125.115195018639,188.316349083235,16.1383397816155,9416105.50932957,7468523.53216502,11585600.4076461,134.27284580305,106.500496157062,165.209654408639,14.993471531351,1464894.19148137,1159935.08059117,1804898.94102874,20.8892637933669,16.5405733892265,25.7377019574302,2.34884853192551,1406621.52024295,1332609.4675009,1482605.18121991,20.0522081294172,18.9971232581062,21.1353994231789,0.545524058900792,553618.085241887,471110.647426464,642684.439265091,7.89214789459667,6.71595636653441,9.1618405891128,0.624303855529595,1961087.27858047,1848701.29301133,2076741.69150496,27.9564400971599,26.3543124878276,29.6051610399811,0.829377378463714,0.136114467272208,0.0982745760067636,0.17895612185782,0.0206275917000996,5835643,83.1904860838228,0.182164196320821,0.145537174934416,0.221869925198383,0.0194953387314576
2012,10803494.9339499,8764708.7129595,13051927.050085,7099328882,152.176284737867,123.458271318885,183.847336375379,15.4195265861499,9398160.35655827,7514848.17477444,11488582.9066971,132.510984242207,105.956899040909,161.985257833177,14.3078199534147,1403460.83607054,1087723.39221116,1758810.86851711,19.7883383212674,15.3365437294962,24.7986574436834,2.41700332046124,1376686.88384837,1302629.61798644,1452762.3304995,19.3917890934578,18.3486304077164,20.4633755478339,0.539522353155315,449427.666776049,362471.237566244,545592.129171717,6.33056552592669,5.10571130864598,7.68512261144907,0.658649381675827,1824590.51613141,1708029.2334898,1944943.63232395,25.7008873156668,24.0590239145058,27.3961618717969,0.851408315851247,0.131370714960531,0.0936311440418083,0.174336248921258,0.0206367704078142,5791712,81.5811197968952,0.170622913706224,0.136805848599384,0.207303951196112,0.0180043381976851
2013,10672843.1425963,8712384.57649185,12828951.5253225,7183985552,148.564373707921,121.275084887474,178.577078593246,14.6305563154863,9364610.53070285,7537206.8088019,11387104.4810106,130.480657314086,105.018750699808,158.660829803343,13.697677222408,1307091.94723,1058558.16254058,1581434.96783921,18.2122060373309,14.7492908968976,22.034731014879,1.8602642175183,1353225.38186491,1278258.1986343,1430298.25812394,18.836694089511,17.7931621574383,19.9095369523084,0.53994037014539,414168.947146139,345779.618487637,488637.487110362,5.76516954479168,4.81320036050703,6.80176043748204,0.50763984961079,1768923.65800734,1666099.42897651,1874782.42694604,24.623151664258,23.1918538381898,26.0966898301196,0.741102103817212,0.123776863049082,0.091741481024513,0.159795735589418,0.0173934955524875,5732020,79.7888575709095,0.16734801182989,0.135250459675694,0.2020847428744,0.0170673434006566
2014,10575976.6362882,9030865.93496364,12241118.0564238,7268599255,145.502266189914,124.244928329917,168.410963749353,11.2729860186902,9345925.18068037,7905077.24788498,10905450.5818746,128.626760206986,108.796556351993,150.090306719297,10.5405185944276,1228673.15799409,1004289.00488218,1475338.98099418,16.9100698551239,13.8218997597505,20.3048996930385,1.65524580749445,1339661.69250625,1261307.03877443,1420343.65673245,18.4308096444402,17.3528212868083,19.5408166952582,0.558217272329145,371086.065210838,308648.125204964,439189.743756744,5.1053311950796,4.24632194425422,6.04228859438948,0.458487084613233,1712180.60408617,1610763.74852322,1816649.11453685,23.5558536661432,22.1605799413854,24.993111475876,0.722657521201928,0.116916213447052,0.0900029325800949,0.146792280279353,0.0145083000588162,6067033,83.4690810038337,0.162865158970577,0.137295540301705,0.190141591552498,0.0134904451571565
2015,10454452.7627577,9061359.75470665,11945550.7567138,7353011712,142.179193672386,123.233310507566,162.45793185966,10.0108172882315,9334054.9805035,8027133.97668353,10737965.8754527,126.98930759435,109.208718803918,146.089438549882,9.41305480985259,1118618.48121546,933228.710191501,1320552.40739017,15.2187432673695,12.6965255702826,17.9660432905961,1.34521017403217,1313031.40256976,1234037.93074412,1394440.37402125,17.8570557752126,16.7827548639721,18.9642071662357,0.556550587010265,336581.323587826,281027.647549704,397070.957404985,4.57746208996962,3.82193934345393,5.40011321832892,0.402876162855134,1649375.79076382,1551831.56443289,1749850.4542138,22.4312955747379,21.1047068223803,23.7977378896061,0.687066894804243,0.107569824606236,0.0850236837454418,0.13238409418543,0.0120962015100024,6160127,83.776923542047,0.158549920205222,0.135532542473841,0.182991502342294,0.0121139925536956
2016,10283048.4267968,9081415.55738423,11558149.8762267,7437143370,138.266104540577,122.10892147134,155.41114781853,8.49843832421339,9261660.3020096,8119468.48148269,10477825.3482708,124.567926238895,109.205619502251,140.92516164129,8.09486673969543,1019929.28170269,880586.70786241,1169355.04781411,13.717894134431,11.843757651979,15.7276480234955,0.991260236769,1292231.88731326,1212761.57250255,1374188.04265419,17.3753795378731,16.3068198657376,18.4773638786823,0.553769727300934,298058.217278391,249497.339111404,350872.924784892,4.0076976125094,3.35474693304728,4.71784537864693,0.347965385452667,1590742.66502175,1496825.3565129,1687476.55493768,21.3891622882854,20.1263480081721,22.6898483864737,0.654019839377576,0.099588533110239,0.0819064361257295,0.118770061629405,0.00941194187091417,6355410,85.4549883445369,0.155280050704046,0.135036810331207,0.176646999220705,0.0106198645219266
