year,inc.num,inc.lo.num,inc.hi.num,pop,inc,inc.lo,inc.hi,inc.sd,inc.h.num,inc.h.lo.num,inc.h.hi.num,inc.h,inc.h.lo,inc.h.hi,inc.h.sd,mort.nh.num,mort.nh.lo.num,mort.nh.hi.num,mort.nh,mort.nh.lo,mort.nh.hi,mort.nh.sd,mort.h.num,mort.h.lo.num,mort.h.hi.num,mort.h,mort.h.lo,mort.h.hi,mort.h.sd,mort.num,mort.lo.num,mort.hi.num,mort,mort.lo,mort.hi,mort.sd,tbhiv,tbhiv.lo,tbhiv.hi,tbhiv.sd,c.newinc,newinc
2000,8943620.7453813,6413378.48395179,11886900.6617034,3735656558,239.412285538624,171.680088476479,318.20111075916,37.4586304854394,1471804.71150117,956884.63261621,2095758.01117612,39.3988229016735,25.6148984190481,56.1014637892235,7.80398112847439,1469859.48597056,1368175.02241806,1575135.48530592,39.3467510503025,36.6247539401898,42.1648901832995,1.4134860604367,561529.645088474,424683.934527624,717191.009880912,15.0316185754802,11.3683880713861,19.1985263834019,2.00061936020913,2036867.60825147,1861341.40039228,2220184.8592471,54.5250232891315,49.8263523825864,59.4322530665331,2.45096432927073,0.168593290486347,0.0954734951119234,0.257324631769954,0.0415389184121509,2741908,73.3982890940051
2001,9080546.33015772,6530688.60984377,12042978.7325536,3789329165,239.634667107568,172.344188785821,317.812948101424,37.1883299180768,1377821.22583517,913417.191965112,1936119.71684871,36.3605579204194,24.1049840800809,51.0939966559678,6.9067864113676,1467504.39815898,1368780.1647087,1569616.17180024,38.7272874500725,36.121965263704,41.4220064674755,1.35222080060443,555644.956130196,421465.035854647,708081.01803711,14.6634122277471,11.1224181775364,18.6861839445692,1.93250231190217,2028356.13319146,1856853.24556035,2207321.84489228,53.5281060280087,49.0021627762271,58.2509924257867,2.35984101276897,0.155387518374365,0.0897957333130594,0.234872879330116,0.0372180538213911,2814026,74.2618515697092
2002,9213338.31281046,6648387.86450947,12189101.6027211,3842687266,239.762897031196,173.014023892453,317.202539758308,36.8595994185546,1318837.28893686,883270.558606861,1840290.22134116,34.3207031341296,22.9857518310693,47.8907101710826,6.37256584853532,1455088.28716455,1358729.32232497,1554700.19475121,37.8664248854996,35.358831678731,40.4586709021876,1.30113807465602,520384.199664539,393909.909305348,664194.057745873,13.5421949183553,10.2508968864225,17.2846243206582,1.79711821831555,1980703.12518155,1817001.62051491,2151360.64483618,51.5447390868043,47.2846603102911,55.9858374078828,2.22009011217915,0.146527419939595,0.0856786615960852,0.220218224677585,0.034506386111088,3041731,79.1563504767395
2003,9339995.72975769,6765856.67480595,12321548.9838996,3895823389,239.74381785708,173.669491638394,316.275861444078,36.4535139509651,1302375.51815921,870414.001394346,1819959.13896678,33.4300451564749,22.342234605706,46.715647945066,6.23673450861173,1427969.36020931,1335071.90646015,1523945.82449152,36.6538525396514,34.2693128808092,39.1174258256788,1.2369098054535,523453.908736766,395313.579763853,669304.61931383,13.4362843607017,10.1471124404673,17.180055471807,1.79696100866511,1956244.66275836,1793102.66144939,2126384.45794139,50.2138949183859,46.0262820566324,54.5811307551908,2.18276127122727,0.142664537609375,0.0835131379100347,0.214367143317664,0.0335599635225054,3369103,86.4798699425848
2004,9429293.48090444,6859972.24358661,12399857.5860948,3948851459,238.78572235007,173.720696126762,314.011750374498,35.8598925370478,1302719.8763492,862580.738318632,1832113.61121019,32.9898424864809,21.8438385762191,46.3961136607086,6.28330362771556,1385210.01551932,1295867.41329092,1477487.59415402,35.0788078483486,32.8163119516044,37.4156285566683,1.17343180663947,517316.933493175,391647.614460781,660202.182870768,13.1004404410841,9.91801333950304,16.718840648363,1.73760948350805,1902956.89240649,1744114.77244967,2068618.97128775,48.1901360981654,44.167646986938,52.385332615464,2.09673508673781,0.141272505004533,0.0822820685030484,0.212928098790985,0.0335093393450011,3788801,95.9469111294318
2005,9474443.88576287,6928543.31565182,12411489.0037668,4001864200,236.750759452629,173.132894305904,310.142683096712,35.0191077800636,1344382.42303848,882804.688107169,1901443.99109372,33.5939041369391,22.0598362160108,47.5139558981965,6.51485240755253,1365214.79163024,1279372.25632203,1453804.24008162,34.1144707416669,31.9694070658878,36.3281752559625,1.11205476278203,552250.469851671,418368.606335015,704430.116579905,13.799830335364,10.4543429118613,17.6025492464213,1.82635242762144,1917843.15430823,1753769.71307042,2089144.69073591,47.9237439968161,43.8238187360385,52.204287460227,2.13828737295831,0.1450001897189,0.0840845263323472,0.219003712435415,0.03460848880195,4044890,101.075143929172
2006,9497483.44743222,6994072.88875354,12376951.196769,4054885545,234.223218930147,172.485087708031,305.235525378288,33.9277816149874,1390832.39690518,910667.463679177,1971007.65423167,34.3001641222695,22.4585245026732,48.6082192051532,6.69315334733049,1324964.2481848,1244078.90838303,1408360.13785855,32.675749623034,30.6809870359247,34.7324264083156,1.03364018629976,559878.725598293,428466.757169066,708596.331072069,13.8075099626096,10.5666794392606,17.4751253323494,1.76491284565616,1889024.80989992,1729882.3589349,2055066.47528619,46.5863903909504,42.6616815625778,50.6812449446386,2.04619084972878,0.149514882474911,0.086807719266465,0.225548488791424,0.0355886987102373,4327205,106.715835798024
2007,9481264.13618463,7040186.82127609,12279140.3906571,4107930573,230.803904002217,171.380375012879,298.913045691757,32.5912818444169,1327941.21977906,885947.854205416,1857926.31381291,32.3262819607312,21.5667679494985,45.2277924564844,6.05459088867808,1306581.92007667,1228791.3293781,1386725.46808687,31.8063291688613,29.9126605852232,33.7572761623902,0.980869141474968,544970.161985235,430791.330728284,672366.229592814,13.2662943616217,10.4868211152283,16.3675168711965,1.50188966485812,1855330.41895651,1713638.76317931,2002567.42507116,45.164600179734,41.715377919054,48.7488137758057,1.7945253403132,0.142852242661817,0.0847915419608421,0.212917880163579,0.0328526850599912,4511890,109.83364786287
2008,9453142.2236245,7112160.08427475,12121224.1755346,4161067079,227.18072177525,170.921543662881,291.300859741189,30.7589065659748,1360367.93959978,954171.298987808,1837442.32261425,32.6927663931511,22.9309280737939,44.1579596706678,5.42821653285303,1271283.17726974,1197665.21258343,1347065.1572701,30.5518549240801,28.7826461300705,32.3730699768923,0.916013523248355,523294.980875369,414196.582243761,644952.716630091,12.5759804141665,9.95409529286661,15.499695255696,1.4162919257841,1798240.75410606,1663241.90274895,1938429.8272969,43.2158559322773,39.9715234378935,46.5849213794157,1.68734797246548,0.146544454692522,0.091492819247011,0.211832114796418,0.030830889794763,4657768,111.936864068035
2009,9442258.81173526,7184168.25651752,12003448.6978808,4214368902,224.04917631331,170.468424183468,284.821973989613,29.2158359101112,1356923.87438113,978459.911489255,1796281.79999304,32.1975580670496,23.2172345193823,42.6227945811907,4.96077266511472,1246710.3710347,1174057.07877965,1321513.31044313,29.5823740167371,27.8584316200341,31.3573239830993,0.892662294151469,514031.28260867,410362.330266229,629198.096453045,12.1971117043106,9.73721901923405,14.9298296158755,1.32604181936366,1764359.40457707,1634725.9278341,1898866.61117126,41.8653289639587,38.7893410816105,45.0569623905046,1.59911704064036,0.14615114598074,0.094056799665197,0.207330707133673,0.0290070146097224,4748453,112.67293182964
