iso3,year,risk.factor,measure,unit,sex,age,best,lo,hi
AFG,2020,hiv,inc,num,a,a,0,0,0
AFG,2020,diabetes,inc,num,a,18+,4105,727,10347
AFG,2020,diabetes,inc,num,f,18+,2122,441,5098
AFG,2020,diabetes,inc,num,m,18+,1971,407,4742
AFG,2020,alcohol,inc,num,a,15+,677,94,1822
AFG,2020,alcohol,inc,num,f,15+,86,19,203
AFG,2020,alcohol,inc,num,m,15+,498,111,1169
AFG,2020,smoking,inc,num,a,15+,,,
AFG,2020,smoking,inc,num,f,15+,,,
AFG,2020,smoking,inc,num,m,15+,,,
AFG,2020,undernutrition,inc,num,a,a,29733,19140,42621
AGO,2020,hiv,inc,num,a,a,12864,5541,23218
AGO,2020,diabetes,inc,num,a,18+,4143,288,12993
AGO,2020,diabetes,inc,num,f,18+,1637,165,4756
AGO,2020,diabetes,inc,num,m,18+,2496,239,7335
AGO,2020,alcohol,inc,num,a,15+,12818,1638,35246
AGO,2020,alcohol,inc,num,f,15+,1668,321,4102
AGO,2020,alcohol,inc,num,m,15+,12016,2683,28212
AGO,2020,smoking,inc,num,a,15+,,,
AGO,2020,smoking,inc,num,f,15+,,,
AGO,2020,smoking,inc,num,m,15+,,,
AGO,2020,undernutrition,inc,num,a,a,33419,21421,48041
ALB,2020,hiv,inc,num,a,a,4,0,12
ALB,2020,diabetes,inc,num,a,18+,14,5,29
ALB,2020,diabetes,inc,num,f,18+,3,1,7
ALB,2020,diabetes,inc,num,m,18+,11,3,22
ALB,2020,alcohol,inc,num,a,15+,49,20,92
ALB,2020,alcohol,inc,num,f,15+,4,2,8
ALB,2020,alcohol,inc,num,m,15+,55,26,95
ALB,2020,smoking,inc,num,a,15+,58,16,126
ALB,2020,smoking,inc,num,f,15+,4,1,10
ALB,2020,smoking,inc,num,m,15+,64,24,125
ALB,2020,undernutrition,inc,num,a,a,31,26,37
AND,2020,hiv,inc,num,a,a,,,
AND,2020,diabetes,inc,num,a,18+,0,0,0
AND,2020,diabetes,inc,num,f,18+,0,0,0
AND,2020,diabetes,inc,num,m,18+,0,0,0
AND,2020,alcohol,inc,num,a,15+,0,0,0
AND,2020,alcohol,inc,num,f,15+,0,0,0
AND,2020,alcohol,inc,num,m,15+,0,0,0
AND,2020,smoking,inc,num,a,15+,0,0,0
AND,2020,smoking,inc,num,f,15+,0,0,0
AND,2020,smoking,inc,num,m,15+,0,0,0
AND,2020,undernutrition,inc,num,a,a,,,
ARE,2020,hiv,inc,num,a,a,,,
ARE,2020,diabetes,inc,num,a,18+,5,2,9
ARE,2020,diabetes,inc,num,f,18+,1,0,3
ARE,2020,diabetes,inc,num,m,18+,0,0,0
ARE,2020,alcohol,inc,num,a,15+,1,0,2
ARE,2020,alcohol,inc,num,f,15+,0,0,0
ARE,2020,alcohol,inc,num,m,15+,0,0,0
ARE,2020,smoking,inc,num,a,15+,5,1,13
ARE,2020,smoking,inc,num,f,15+,0,0,0
ARE,2020,smoking,inc,num,m,15+,0,0,0
ARE,2020,undernutrition,inc,num,a,a,4,4,5
ARG,2020,hiv,inc,num,a,a,797,417,1299
ARG,2020,diabetes,inc,num,a,18+,634,220,1262
ARG,2020,diabetes,inc,num,f,18+,262,92,518
ARG,2020,diabetes,inc,num,m,18+,369,125,742
ARG,2020,alcohol,inc,num,a,15+,1859,695,3585
ARG,2020,alcohol,inc,num,f,15+,377,155,695
ARG,2020,alcohol,inc,num,m,15+,1556,718,2713
ARG,2020,smoking,inc,num,a,15+,1451,339,3357
ARG,2020,smoking,inc,num,f,15+,459,135,978
ARG,2020,smoking,inc,num,m,15+,1028,326,2126
ARG,2020,undernutrition,inc,num,a,a,1084,913,1268
ARM,2020,hiv,inc,num,a,a,72,39,115
ARM,2020,diabetes,inc,num,a,18+,34,11,68
ARM,2020,diabetes,inc,num,f,18+,8,3,17
ARM,2020,diabetes,inc,num,m,18+,24,7,50
ARM,2020,alcohol,inc,num,a,15+,73,26,144
ARM,2020,alcohol,inc,num,f,15+,7,2,14
ARM,2020,alcohol,inc,num,m,15+,86,36,158
ARM,2020,smoking,inc,num,a,15+,81,21,181
ARM,2020,smoking,inc,num,f,15+,1,0,3
ARM,2020,smoking,inc,num,m,15+,103,36,206
ARM,2020,undernutrition,inc,num,a,a,37,28,47
ATG,2020,hiv,inc,num,a,a,,,
ATG,2020,diabetes,inc,num,a,18+,0,0,0
ATG,2020,diabetes,inc,num,f,18+,0,,
ATG,2020,diabetes,inc,num,m,18+,0,0,0
ATG,2020,alcohol,inc,num,a,15+,0,0,0
ATG,2020,alcohol,inc,num,f,15+,0,,
ATG,2020,alcohol,inc,num,m,15+,0,0,0
ATG,2020,smoking,inc,num,a,15+,,,
ATG,2020,smoking,inc,num,f,15+,,,
ATG,2020,smoking,inc,num,m,15+,,,
ATG,2020,undernutrition,inc,num,a,a,,,
AUS,2020,hiv,inc,num,a,a,22,11,38
AUS,2020,diabetes,inc,num,a,18+,52,20,99
AUS,2020,diabetes,inc,num,f,18+,21,7,42
AUS,2020,diabetes,inc,num,m,18+,29,10,59
AUS,2020,alcohol,inc,num,a,15+,170,65,324
AUS,2020,alcohol,inc,num,f,15+,51,21,93
AUS,2020,alcohol,inc,num,m,15+,112,49,201
AUS,2020,smoking,inc,num,a,15+,136,36,300
AUS,2020,smoking,inc,num,f,15+,55,17,115
AUS,2020,smoking,inc,num,m,15+,75,24,156
AUS,2020,undernutrition,inc,num,a,a,96,82,112
AUT,2020,hiv,inc,num,a,a,9,4,15
AUT,2020,diabetes,inc,num,a,18+,8,3,17
AUT,2020,diabetes,inc,num,f,18+,2,0,4
AUT,2020,diabetes,inc,num,m,18+,6,2,14
AUT,2020,alcohol,inc,num,a,15+,91,42,158
AUT,2020,alcohol,inc,num,f,15+,17,8,30
AUT,2020,alcohol,inc,num,m,15+,76,39,124
AUT,2020,smoking,inc,num,a,15+,59,19,121
AUT,2020,smoking,inc,num,f,15+,19,6,37
AUT,2020,smoking,inc,num,m,15+,38,13,75
AUT,2020,undernutrition,inc,num,a,a,22,19,26
AZE,2020,hiv,inc,num,a,a,108,50,186
AZE,2020,diabetes,inc,num,a,18+,333,115,665
AZE,2020,diabetes,inc,num,f,18+,122,42,245
AZE,2020,diabetes,inc,num,m,18+,204,66,419
AZE,2020,alcohol,inc,num,a,15+,701,243,1396
AZE,2020,alcohol,inc,num,f,15+,94,34,182
AZE,2020,alcohol,inc,num,m,15+,697,288,1284
AZE,2020,smoking,inc,num,a,15+,570,118,1371
AZE,2020,smoking,inc,num,f,15+,2,0,6
AZE,2020,smoking,inc,num,m,15+,662,195,1408
AZE,2020,undernutrition,inc,num,a,a,307,233,392
BDI,2020,hiv,inc,num,a,a,925,398,1670
BDI,2020,diabetes,inc,num,a,18+,252,20,765
BDI,2020,diabetes,inc,num,f,18+,92,9,268
BDI,2020,diabetes,inc,num,m,18+,157,14,464
BDI,2020,alcohol,inc,num,a,15+,1661,250,4377
BDI,2020,alcohol,inc,num,f,15+,233,51,551
BDI,2020,alcohol,inc,num,m,15+,1604,409,3600
BDI,2020,smoking,inc,num,a,15+,625,29,2106
BDI,2020,smoking,inc,num,f,15+,57,5,165
BDI,2020,smoking,inc,num,m,15+,660,88,1798
BDI,2020,undernutrition,inc,num,a,a,,,
BEL,2020,hiv,inc,num,a,a,31,10,64
BEL,2020,diabetes,inc,num,a,18+,21,7,43
BEL,2020,diabetes,inc,num,f,18+,5,1,11
BEL,2020,diabetes,inc,num,m,18+,16,6,33
BEL,2020,alcohol,inc,num,a,15+,148,63,270
BEL,2020,alcohol,inc,num,f,15+,28,12,50
BEL,2020,alcohol,inc,num,m,15+,132,64,224
BEL,2020,smoking,inc,num,a,15+,116,33,248
BEL,2020,smoking,inc,num,f,15+,35,12,71
BEL,2020,smoking,inc,num,m,15+,79,27,160
BEL,2020,undernutrition,inc,num,a,a,46,39,54
BEN,2020,hiv,inc,num,a,a,934,418,1654
BEN,2020,diabetes,inc,num,a,18+,226,31,609
BEN,2020,diabetes,inc,num,f,18+,84,14,213
BEN,2020,diabetes,inc,num,m,18+,143,23,369
BEN,2020,alcohol,inc,num,a,15+,839,145,2129
BEN,2020,alcohol,inc,num,f,15+,116,27,268
BEN,2020,alcohol,inc,num,m,15+,795,212,1757
BEN,2020,smoking,inc,num,a,15+,215,13,692
BEN,2020,smoking,inc,num,f,15+,8,0,27
BEN,2020,smoking,inc,num,m,15+,241,34,643
BEN,2020,undernutrition,inc,num,a,a,935,601,1342
BFA,2020,hiv,inc,num,a,a,732,315,1321
BFA,2020,diabetes,inc,num,a,18+,292,30,841
BFA,2020,diabetes,inc,num,f,18+,91,13,244
BFA,2020,diabetes,inc,num,m,18+,217,33,571
BFA,2020,alcohol,inc,num,a,15+,384,50,1054
BFA,2020,alcohol,inc,num,f,15+,23,5,56
BFA,2020,alcohol,inc,num,m,15+,446,100,1046
BFA,2020,smoking,inc,num,a,15+,621,31,2067
BFA,2020,smoking,inc,num,f,15+,34,1,114
BFA,2020,smoking,inc,num,m,15+,692,100,1844
BFA,2020,undernutrition,inc,num,a,a,2852,1842,4078
BGD,2020,hiv,inc,num,a,a,687,291,1250
BGD,2020,diabetes,inc,num,a,18+,17491,5341,36716
BGD,2020,diabetes,inc,num,f,18+,7324,2288,15237
BGD,2020,diabetes,inc,num,m,18+,10231,3146,21419
BGD,2020,alcohol,inc,num,a,15+,6868,1908,14947
BGD,2020,alcohol,inc,num,f,15+,1149,380,2336
BGD,2020,alcohol,inc,num,m,15+,6617,2231,13345
BGD,2020,smoking,inc,num,a,15+,39349,8304,94077
BGD,2020,smoking,inc,num,f,15+,937,128,2535
BGD,2020,smoking,inc,num,m,15+,38565,11708,81141
BGD,2020,undernutrition,inc,num,a,a,79987,59839,103014
BGR,2020,hiv,inc,num,a,a,1,0,7
BGR,2020,diabetes,inc,num,a,18+,47,16,95
BGR,2020,diabetes,inc,num,f,18+,14,4,31
BGR,2020,diabetes,inc,num,m,18+,34,10,71
BGR,2020,alcohol,inc,num,a,15+,178,72,332
BGR,2020,alcohol,inc,num,f,15+,18,7,35
BGR,2020,alcohol,inc,num,m,15+,185,83,328
BGR,2020,smoking,inc,num,a,15+,230,72,479
BGR,2020,smoking,inc,num,f,15+,72,24,147
BGR,2020,smoking,inc,num,m,15+,161,56,322
BGR,2020,undernutrition,inc,num,a,a,82,62,105
BHR,2020,hiv,inc,num,a,a,8,2,17
BHR,2020,diabetes,inc,num,a,18+,11,4,22
BHR,2020,diabetes,inc,num,f,18+,3,1,7
BHR,2020,diabetes,inc,num,m,18+,7,3,14
BHR,2020,alcohol,inc,num,a,15+,7,2,15
BHR,2020,alcohol,inc,num,f,15+,0,0,1
BHR,2020,alcohol,inc,num,m,15+,7,3,12
BHR,2020,smoking,inc,num,a,15+,20,4,49
BHR,2020,smoking,inc,num,f,15+,1,0,4
BHR,2020,smoking,inc,num,m,15+,22,6,46
BHR,2020,undernutrition,inc,num,a,a,,,
BHS,2020,hiv,inc,num,a,a,6,2,12
