group_type,group_name,year,risk.factor,measure,unit,sex,age,best,lo,hi
g_whoregion,EMR,2020,hiv,inc,num,a,a,15554,8732,24311
g_whoregion,EMR,2020,diabetes,inc,num,a,18+,43754,18098,80537
g_whoregion,EMR,2020,diabetes,inc,num,f,18+,18272,8178,32352
g_whoregion,EMR,2020,diabetes,inc,num,m,18+,25298,10664,46142
g_whoregion,EMR,2020,alcohol,inc,num,a,15+,8179,3583,14638
g_whoregion,EMR,2020,alcohol,inc,num,f,15+,832,404,1411
g_whoregion,EMR,2020,alcohol,inc,num,m,15+,7312,3710,12114
g_whoregion,EMR,2020,smoking,inc,num,a,15+,60894,12153,148140
g_whoregion,EMR,2020,smoking,inc,num,f,15+,4128,829,10022
g_whoregion,EMR,2020,smoking,inc,num,m,15+,59831,17756,126997
g_whoregion,EMR,2020,undernutrition,inc,num,a,a,167279,129775,209470
g_whoregion,AFR,2020,hiv,inc,num,a,a,537014,439360,644320
g_whoregion,AFR,2020,diabetes,inc,num,a,18+,70993,45485,102087
g_whoregion,AFR,2020,diabetes,inc,num,f,18+,27589,18243,38836
g_whoregion,AFR,2020,diabetes,inc,num,m,18+,42764,28146,60389
g_whoregion,AFR,2020,alcohol,inc,num,a,15+,168560,111954,236563
g_whoregion,AFR,2020,alcohol,inc,num,f,15+,18368,12578,25236
g_whoregion,AFR,2020,alcohol,inc,num,m,15+,165096,117110,221191
g_whoregion,AFR,2020,smoking,inc,num,a,15+,89635,53847,134393
g_whoregion,AFR,2020,smoking,inc,num,f,15+,7258,3667,12054
g_whoregion,AFR,2020,smoking,inc,num,m,15+,93459,61544,131933
g_whoregion,AFR,2020,undernutrition,inc,num,a,a,482304,421537,547102
g_whoregion,EUR,2020,hiv,inc,num,a,a,28500,18828,40143
g_whoregion,EUR,2020,diabetes,inc,num,a,18+,9517,6599,12960
g_whoregion,EUR,2020,diabetes,inc,num,f,18+,3493,2388,4804
g_whoregion,EUR,2020,diabetes,inc,num,m,18+,5923,3949,8290
g_whoregion,EUR,2020,alcohol,inc,num,a,15+,42257,26556,61545
g_whoregion,EUR,2020,alcohol,inc,num,f,15+,6316,3765,9515
g_whoregion,EUR,2020,alcohol,inc,num,m,15+,39908,26049,56674
g_whoregion,EUR,2020,smoking,inc,num,a,15+,27745,17538,40253
g_whoregion,EUR,2020,smoking,inc,num,f,15+,5487,3564,7818
g_whoregion,EUR,2020,smoking,inc,num,m,15+,24069,15472,34533
g_whoregion,EUR,2020,undernutrition,inc,num,a,a,12424,10733,14236
g_whoregion,AMR,2020,hiv,inc,num,a,a,28543,21432,36656
g_whoregion,AMR,2020,diabetes,inc,num,a,18+,12336,8532,16829
g_whoregion,AMR,2020,diabetes,inc,num,f,18+,4617,3198,6291
g_whoregion,AMR,2020,diabetes,inc,num,m,18+,7431,5013,10317
g_whoregion,AMR,2020,alcohol,inc,num,a,15+,34310,25120,44909
g_whoregion,AMR,2020,alcohol,inc,num,f,15+,6407,4927,8078
g_whoregion,AMR,2020,alcohol,inc,num,m,15+,31040,23440,39690
g_whoregion,AMR,2020,smoking,inc,num,a,15+,17024,9474,26749
g_whoregion,AMR,2020,smoking,inc,num,f,15+,3917,2290,5972
g_whoregion,AMR,2020,smoking,inc,num,m,15+,14306,8702,21280
g_whoregion,AMR,2020,undernutrition,inc,num,a,a,42324,38679,46130
g_whoregion,WPR,2020,hiv,inc,num,a,a,35989,22931,51941
g_whoregion,WPR,2020,diabetes,inc,num,a,18+,65088,35833,102929
g_whoregion,WPR,2020,diabetes,inc,num,f,18+,19317,10779,30303
g_whoregion,WPR,2020,diabetes,inc,num,m,18+,46774,24939,75359
g_whoregion,WPR,2020,alcohol,inc,num,a,15+,174912,95604,277776
g_whoregion,WPR,2020,alcohol,inc,num,f,15+,13467,6791,22389
g_whoregion,WPR,2020,alcohol,inc,num,m,15+,194085,114590,294182
g_whoregion,WPR,2020,smoking,inc,num,a,15+,180731,76849,328266
g_whoregion,WPR,2020,smoking,inc,num,f,15+,10876,3972,21195
g_whoregion,WPR,2020,smoking,inc,num,m,15+,202794,100369,340631
g_whoregion,WPR,2020,undernutrition,inc,num,a,a,228217,162185,305348
g_whoregion,SEA,2020,hiv,inc,num,a,a,93663,58171,137471
g_whoregion,SEA,2020,diabetes,inc,num,a,18+,167460,81015,284759
g_whoregion,SEA,2020,diabetes,inc,num,f,18+,63392,31385,106459
g_whoregion,SEA,2020,diabetes,inc,num,m,18+,104607,49976,179072
g_whoregion,SEA,2020,alcohol,inc,num,a,15+,306961,117344,586153
g_whoregion,SEA,2020,alcohol,inc,num,f,15+,17264,8641,28819
g_whoregion,SEA,2020,alcohol,inc,num,m,15+,322377,140777,577918
g_whoregion,SEA,2020,smoking,inc,num,a,15+,355349,171663,604728
g_whoregion,SEA,2020,smoking,inc,num,f,15+,14805,7057,25374
g_whoregion,SEA,2020,smoking,inc,num,m,15+,371572,201637,592584
g_whoregion,SEA,2020,undernutrition,inc,num,a,a,964738,764898,1187419
