country,iso3,g.whoregion,year.new,source.new,all.areas.covered.new,surv.quality.new,dst.rlt.new,mdr.new,mdr.new.pcnt,mdr.new.pcnt.lo,mdr.new.pcnt.hi,dr.r.nh.new,dr.r.nh.new.pcnt,dr.r.nh.new.pcnt.lo,dr.r.nh.new.pcnt.hi,xpert.new,xpert.dr.r.new,xpert.dr.r.new.pcnt,xpert.dr.r.new.pcnt.lo,xpert.dr.r.new.pcnt.hi,r.rlt.new,rr.new,rr.new.pcnt,rr.new.pcnt.lo,rr.new.pcnt.hi,dst.rlt.hr.new,dst.rlt.hr.new.pcnt,dst.rlt.hr.new.pcnt.lo,dst.rlt.hr.new.pcnt.hi,dst.rlt.rr.new,dst.rlt.rr.new.pcnt,dst.rlt.rr.new.pcnt.lo,dst.rlt.rr.new.pcnt.hi,dr.h.nr.new,dr.h.nr.new.pcnt,dr.h.nr.new.pcnt.lo,dr.h.nr.new.pcnt.hi,year.ret,source.ret,all.areas.covered.ret,surv.quality.ret,dst.rlt.ret,mdr.ret,mdr.ret.pcnt,mdr.ret.pcnt.lo,mdr.ret.pcnt.hi,dr.r.nh.ret,dr.r.nh.ret.pcnt,dr.r.nh.ret.pcnt.lo,dr.r.nh.ret.pcnt.hi,xpert.ret,xpert.dr.r.ret,xpert.dr.r.ret.pcnt,xpert.dr.r.ret.pcnt.lo,xpert.dr.r.ret.pcnt.hi,r.rlt.ret,rr.ret,rr.ret.pcnt,rr.ret.pcnt.lo,rr.ret.pcnt.hi,dst.rlt.hr.ret,dst.rlt.hr.ret.pcnt,dst.rlt.hr.ret.pcnt.lo,dst.rlt.hr.ret.pcnt.hi,dst.rlt.rr.ret,dst.rlt.rr.ret.pcnt,dst.rlt.rr.ret.pcnt.lo,dst.rlt.rr.ret.pcnt.hi,dr.h.nr.ret,dr.h.nr.ret.pcnt,dr.h.nr.ret.pcnt.lo,dr.h.nr.ret.pcnt.hi
Aruba,ABW,AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,EMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,Surveillance,1,R,,,,,,,,,,,,,,,642,144,,,,,,,,,,,,,,,
Angola,AGO,AFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anguilla,AIA,AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,EUR,2020,Surveillance,1,A,,,,,,,,,,,,,,,125,1,,,,,,,,,,,,,,,,2020,Surveillance,1,A,,,,,,,,,,,,,,,13,3,,,,,,,,,,,,,,,
Andorra,AND,EUR,2020,Surveillance,1,N,1,0,,,,,,,,,,,,,1,0,,,,0,,,,0,,,,,,,,2017,Surveillance,1,A,0,0,,,,,,,,,,,,,0,0,,,,0,,,,0,,,,,,,
United Arab Emirates,ARE,EMR,2020,Surveillance,1,N,17,0,,,,,,,,,,,,,29,0,,,,0,,,,0,,,,,,,,2019,Surveillance,1,R,1,0,,,,,,,,,,,,,2,0,,,,0,,,,0,,,,,,,
Argentina,ARG,AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,ARM,EUR,2020,Surveillance,1,A,183,26,,,,,,,,,,,,,198,28,,,,54,,,,28,,,,,,,,2020,Surveillance,1,A,45,23,,,,,,,,,,,,,48,24,,,,29,,,,24,,,,,,,
American Samoa,ASM,WPR,2020,Surveillance,1,N,0,0,,,,,,,,,,,,,3,0,,,,0,,,,0,,,,,,,,2018,Surveillance,1,R,1,0,,,,,,,,,,,,,1,1,,,,0,,,,0,,,,,,,
Antigua and Barbuda,ATG,AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,WPR,2020,Surveillance,1,N,729,10,,,,,,,,,,,,,735,14,,,,64,,,,14,,,,,,,,2019,Surveillance,1,A,31,3,,,,,,,,,,,,,32,3,,,,5,,,,3,,,,,,,
Austria,AUT,EUR,2015,Surveillance,1,A,264,5,,,,1,,,,,,,,,,,,,,,,,,,,,,11,,,,2016,Surveillance,1,R,17,3,,,,0,,,,,,,,,,,,,,,,,,,,,,1,,,
Azerbaijan,AZE,EUR,2020,Surveillance,1,A,1162,122,,,,,,,,,,,,,1245,149,,,,169,,,,149,,,,,,,,2020,Surveillance,1,A,,,,,,,,,,,,,,,2260,552,,,,,,,,,,,,,,,
Burundi,BDI,AFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,Surveillance,1,R,50,50,,,,,,,,,,,,,241,50,,,,50,,,,50,,,,,,,
Belgium,BEL,EUR,2019,Surveillance,1,N,437,9,,,,,,,,,,,,,437,9,,,,19,,,,9,,,,,,,,2015,Surveillance,1,A,34,2,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,,
Benin,BEN,AFR,2010,Survey,1,A,403,,0.5,0.1,2,,0.7,0.2,2.4,,,,,,,,,,,,,,,,,,,,7.4,5.2,10.6,2020,Surveillance,1,R,75,14,,,,,,,,,,,,,211,15,,,,21,,,,14,,,,,,,
Burkina Faso,BFA,AFR,2020,Surveillance,1,N,39,38,,,,,,,,,,,,,3282,39,,,,38,,,,39,,,,,,,,2017,Survey,1,A,,,,,,,,,,141,,14.3,8.5,20.1,,,,,,,,,,,,,,,,,
Bangladesh,BGD,SEA,2019,Survey,1,A,21,,,,,,,,,,,,,,2096,,0.7,0.4,1.2,,,,,,,,,,,,,2020,Surveillance,1,R,0,0,,,,,,,,,,,,,5507,321,,,,0,,,,0,,,,,,,
Bulgaria,BGR,EUR,2018,Surveillance,1,A,464,10,,,,,,,,,,,,,476,12,,,,30,,,,12,,,,,,,,2018,Surveillance,1,A,72,14,,,,,,,,,,,,,75,16,,,,19,,,,16,,,,,,,
Bahrain,BHR,EMR,2019,Surveillance,1,N,93,2,,,,,,,,,,,,,93,2,,,,6,,,,2,,,,,,,,2018,Surveillance,1,A,1,0,,,,,,,,,,,,,1,0,,,,0,,,,0,,,,,,,
Bahamas,BHS,AMR,2020,Surveillance,1,A,20,0,,,,,,,,,,,,,20,1,,,,1,,,,1,,,,,,,,2020,Surveillance,1,A,1,0,,,,,,,,,,,,,1,0,,,,0,,,,0,,,,,,,
Bosnia and Herzegovina,BIH,EUR,2020,Surveillance,1,A,153,0,,,,,,,,,,,,,208,0,,,,1,,,,0,,,,,,,,2020,Surveillance,1,A,0,0,,,,,,,,,,,,,23,0,,,,0,,,,0,,,,,,,
Belarus,BLR,EUR,2020,Surveillance,1,A,1015,364,,,,,,,,,,,,,1015,401,,,,422,,,,401,,,,,,,,2020,Surveillance,1,A,569,423,,,,,,,,,,,,,569,424,,,,442,,,,424,,,,,,,
Belize,BLZ,AMR,2019,Surveillance,1,A,0,0,,,,,,,,,,,,,54,0,,,,0,,,,0,,,,,,,,2020,Surveillance,1,R,,,,,,,,,,,,,,,5,1,,,,,,,,,,,,,,,
Bermuda,BMU,AMR,2019,Surveillance,1,N,1,0,,,,,,,,,,,,,1,0,,,,0,,,,0,,,,,,,,2017,Surveillance,1,A,0,0,,,,,,,,,,,,,0,0,,,,0,,,,0,,,,,,,
Bolivia (Plurinational State of),BOL,AMR,2020,Surveillance,1,A,3654,0,,,,,,,,,,,,,3654,51,,,,10,,,,51,,,,,,,,2020,Surveillance,1,A,366,22,,,,,,,,,,,,,366,48,,,,48,,,,48,,,,,,,
Brazil,BRA,AMR,2008,Survey,0,A,3000,,1.4,1,1.8,,0.1,0,0.3,,,,,,,,,,,,,,,,,,,,4.6,3.9,5,2008,Survey,0,A,800,,7.5,5.7,9.9,,0.5,0.1,1.3,,,,,,,,,,,,,,,,,,,,7.8,6,9.8
Barbados,BRB,AMR,2020,Surveillance,1,A,2,0,,,,,,,,,,,,,2,0,,,,0,,,,0,,,,,,,,2020,Surveillance,1,A,1,0,,,,,,,,,,,,,1,0,,,,0,,,,0,,,,,,,
Brunei Darussalam,BRN,WPR,2020,Surveillance,1,A,229,0,,,,,,,,,,,,,229,0,,,,0,,,,0,,,,,,,,2020,Surveillance,1,A,16,0,,,,,,,,,,,,,16,0,,,,0,,,,0,,,,,,,
Bhutan,BTN,SEA,2020,Surveillance,1,A,362,42,,,,,,,,,,,,,434,74,,,,55,,,,63,,,,,,,,2020,Surveillance,1,A,36,8,,,,,,,,,,,,,55,18,,,,9,,,,12,,,,,,,
Botswana,BWA,AFR,2008,Survey,1,A,924,,2.5,1.5,3.5,,1.1,0.4,1.8,,,,,,,,,,,,,,,,,,,,5.1,3.6,6.4,2008,Survey,1,A,137,,6.6,2.4,10.7,,6.6,2.4,10.7,,,,,,,,,,,,,,,,,,,,3.7,0.5,6.8
Central African Republic,CAF,AFR,2009,Survey,0,A,225,,0.4,0,2.5,,0,0,0,,,,,,,,,,,,,,,,,,,,8.9,5.5,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,AMR,2015,Surveillance,1,A,856,7,,,,0,,,,,,,,,,,,,,,,,,,,,,49,,,,2015,Surveillance,1,A,64,4,,,,0,,,,,,,,,,,,,,,,,,,,,,1,,,
Switzerland,CHE,EUR,2018,Surveillance,1,N,261,3,,,,,,,,,,,,,261,3,,,,10,,,,3,,,,,,,,2015,Surveillance,1,A,19,4,,,,1,,,,0,0,,,,,,,,,,,,,,,,,2,,,
Chile,CHL,AMR,2020,Surveillance,1,A,1510,22,,,,,,,,,,,,,1510,35,,,,51,,,,35,,,,,,,,2020,Surveillance,1,A,167,3,,,,,,,,,,,,,173,6,,,,6,,,,6,,,,,,,
China,CHN,WPR,2020,Surveillance,1,A,153360,7337,,,,,,,,,,,,,248587,9406,,,,18908,,,,9406,,,,,,,,2020,Surveillance,1,A,29160,5619,,,,,,,,,,,,,36433,6937,,,,8241,,,,6937,,,,,,,
Côte d'Ivoire,CIV,AFR,2017,Survey,1,A,,,,,,,,,,998,,4.6,2.4,6.8,,,,,,,,,,,,,,,,,,2020,Surveillance,1,R,270,81,,,,,,,,,,,,,945,270,,,,266,,,,85,,,,,,,
Cameroon,CMR,AFR,2017,Survey,1,A,,,,,,,,,,,,,,,1029,,1.6,0.9,2.5,,,,,,,,,,,,,2020,Surveillance,1,R,536,8,,,,,,,,,,,,,1330,171,,,,43,,,,9,,,,,,,
Democratic Republic of the Congo,COD,AFR,2017,Survey,1,A,1152,,0.9,0.4,1.8,,,,,,,,,,1487,,1.8,1,3.2,,7.2,4.8,10.7,,1.7,0.9,3.3,,6.6,4.4,9.8,2020,Surveillance,1,R,201,182,,,,,,,,,,,,,4068,560,,,,182,,,,201,,,,,,,
Congo,COG,AFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,Surveillance,1,R,0,0,,,,,,,,,,,,,333,40,,,,0,,,,0,,,,,,,
Cook Islands,COK,WPR,2016,Surveillance,1,A,2,0,,,,0,,,,0,0,,,,,,,,,,,,,,,,,0,,,,2016,Surveillance,1,A,0,0,,,,0,,,,0,0,,,,,,,,,,,,,,,,,0,,,
Colombia,COL,AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,Surveillance,1,R,391,50,,,,4,,,,,1,,,,,,,,,,,,,,,,,22,,,
Comoros,COM,AFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV,AFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,Surveillance,1,R,9,0,,,,,,,,,,,,,9,0,,,,0,,,,0,,,,,,,
Costa Rica,CRI,AMR,2019,Surveillance,1,A,315,1,,,,,,,,,,,,,315,1,,,,8,,,,1,,,,,,,,2019,Surveillance,1,A,21,0,,,,,,,,,,,,,21,0,,,,0,,,,0,,,,,,,
Cuba,CUB,AMR,2012,Surveillance,1,A,269,2,,,,4,,,,0,0,,,,,,,,,,,,,,,,,4,,,,2018,Surveillance,1,R,55,11,,,,,,,,,,,,,67,21,,,,13,,,,17,,,,,,,
Curaçao,CUW,AMR,2017,Surveillance,1,A,8,0,,,,,,,,,,,,,8,0,,,,0,,,,0,,,,,,,,2017,Surveillance,1,A,0,0,,,,,,,,,,,,,0,0,,,,0,,,,0,,,,,,,
Cayman Islands,CYM,AMR,2020,Surveillance,1,N,0,0,,,,,,,,,,,,,1,0,,,,0,,,,0,,,,,,,,2017,Surveillance,1,A,0,0,,,,,,,,,,,,,0,0,,,,0,,,,0,,,,,,,
Cyprus,CYP,EUR,2019,Surveillance,1,A,47,0,,,,,,,,,,,,,47,0,,,,3,,,,0,,,,,,,,2019,Surveillance,1,A,1,0,,,,,,,,,,,,,1,0,,,,0,,,,0,,,,,,,
Czechia,CZE,EUR,2020,Surveillance,1,A,223,8,,,,,,,,,,,,,223,8,,,,16,,,,8,,,,,,,,2020,Surveillance,1,A,10,3,,,,,,,,,,,,,10,3,,,,3,,,,3,,,,,,,
Germany,DEU,EUR,2015,Surveillance,1,A,271,6,,,,0,,,,,,,,,,,,,,,,,,,,,,23,,,,2015,Surveillance,1,A,154,32,,,,3,,,,,,,,,,,,,,,,,,,,,,5,,,
Djibouti,DJI,EMR,2015,Survey,1,A,187,,7.5,4.2,12.2,,,,,,,,,,301,,4.7,2.8,7.7,,11.8,7.5,17.3,,11.8,7.5,17.3,,,,,2018,Surveillance,1,R,6,3,,,,,,,,,,,,,93,9,,,,3,,,,3,,,,,,,
Dominica,DMA,AMR,2013,Surveillance,1,A,0,0,,,,0,,,,1,0,,,,,,,,,,,,,,,,,0,,,,2019,Surveillance,1,R,0,0,,,,,,,,,,,,,1,0,,,,0,,,,0,,,,,,,
Denmark,DNK,EUR,2019,Surveillance,1,A,171,3,,,,,,,,,,,,,171,3,,,,6,,,,3,,,,,,,,2019,Surveillance,1,A,17,0,,,,,,,,,,,,,17,0,,,,0,,,,0,,,,,,,
Dominican Republic,DOM,AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Surveillance,1,R,221,68,,,,7,,,,0,0,,,,,,,,,,,,,,,,,46,,,
Algeria,DZA,AFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,ECU,AMR,2020,Surveillance,1,A,612,38,,,,,,,,,,,,,2900,95,,,,109,,,,46,,,,,,,,2020,Surveillance,1,A,197,49,,,,,,,,,,,,,503,161,,,,70,,,,50,,,,,,,
Egypt,EGY,EMR,2020,Surveillance,1,A,2815,6,,,,,,,,,,,,,2815,22,,,,8,,,,22,,,,,,,,2020,Surveillance,1,A,326,5,,,,,,,,,,,,,326,41,,,,6,,,,41,,,,,,,
Eritrea,ERI,AFR,2020,Surveillance,1,A,0,0,,,,,,,,,,,,,660,20,,,,0,,,,0,,,,,,,,2020,Surveillance,1,A,0,0,,,,,,,,,,,,,83,8,,,,0,,,,0,,,,,,,
Spain,ESP,EUR,2015,Surveillance,1,A,769,30,,,,2,,,,,,,,,,,,,,,,,,,,,,54,,,,2015,Surveillance,1,A,61,10,,,,1,,,,,,,,,,,,,,,,,,,,,,6,,,
Estonia,EST,EUR,2020,Surveillance,1,A,88,16,,,,,,,,,,,,,91,17,,,,23,,,,16,,,,,,,,2020,Surveillance,1,A,10,3,,,,,,,,,,,,,13,4,,,,3,,,,3,,,,,,,
Ethiopia,ETH,AFR,2020,Surveillance,1,N,106,36,,,,,,,,,,,,,41164,548,,,,39,,,,40,,,,,,,,2019,Surveillance,1,R,,339,,,,,,,,,,,,,3243,383,,,,339,,,,383,,,,,,,
Finland,FIN,EUR,2020,Surveillance,1,N,100,0,,,,,,,,,,,,,100,0,,,,11,,,,0,,,,,,,,2017,Surveillance,1,A,3,1,,,,,,,,,,,,,3,2,,,,2,,,,2,,,,,,,
Fiji,FJI,WPR,2020,Surveillance,1,A,0,0,,,,,,,,,,,,,120,0,,,,0,,,,0,,,,,,,,2020,Surveillance,1,A,0,0,,,,,,,,,,,,,6,0,,,,0,,,,0,,,,,,,
