country,iso3,g.whoregion,row.rank.new,year.new,source.new,all.areas.covered.new,area.desc.new,surv.quality.new,dst.rlt.new,mdr.new,mdr.new.pcnt,mdr.new.pcnt.lo,mdr.new.pcnt.hi,dr.r.nh.new,dr.r.nh.new.pcnt,dr.r.nh.new.pcnt.lo,dr.r.nh.new.pcnt.hi,xpert.new,xpert.dr.r.new,xpert.dr.r.new.pcnt,xpert.dr.r.new.pcnt.lo,xpert.dr.r.new.pcnt.hi,r.rlt.new,rr.new,rr.new.pcnt,rr.new.pcnt.lo,rr.new.pcnt.hi,dst.rlt.hr.new,dst.rlt.hr.new.pcnt,dst.rlt.hr.new.pcnt.lo,dst.rlt.hr.new.pcnt.hi,dst.rlt.rr.new,dst.rlt.rr.new.pcnt,dst.rlt.rr.new.pcnt.lo,dst.rlt.rr.new.pcnt.hi
Aruba,ABW,AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,EMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,AFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anguilla,AIA,AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,EUR,1,2020,Surveillance,1,,A,,,,,,,,,,,,,,,125,1,,,,,,,,,,,
Albania,ALB,EUR,2,2012,Surveillance,1,,A,172,1,,,,3,,,,0,0,,,,,,,,,,,,,,,,
Albania,ALB,EUR,3,2011,Surveillance,1,,A,194,2,,,,6,,,,0,0,,,,,,,,,,,,,,,,
Albania,ALB,EUR,4,2010,Surveillance,1,,A,186,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,EUR,1,2020,Surveillance,1,,N,1,0,,,,,,,,,,,,,1,0,,,,0,,,,0,,,
Andorra,AND,EUR,2,2017,Surveillance,1,,A,1,0,,,,,,,,,,,,,1,0,,,,0,,,,0,,,
Andorra,AND,EUR,3,2016,Surveillance,1,,A,1,0,,,,0,,,,1,0,,,,,,,,,,,,,,,,
Andorra,AND,EUR,4,2015,Surveillance,1,,A,1,0,,,,0,,,,1,0,,,,,,,,,,,,,,,,
Andorra,AND,EUR,5,2014,Surveillance,1,,A,3,0,,,,1,,,,0,0,,,,,,,,,,,,,,,,
Andorra,AND,EUR,6,2013,Surveillance,1,,A,4,0,,,,0,,,,0,0,,,,,,,,,,,,,,,,
Andorra,AND,EUR,7,2011,Surveillance,1,,A,1,0,,,,0,,,,1,0,,,,,,,,,,,,,,,,
Andorra,AND,EUR,8,2010,Surveillance,1,,A,4,0,,,,0,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,EUR,9,2009,Surveillance,1,,A,2,0,,,,0,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,EUR,10,2008,Surveillance,1,,A,3,0,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,EUR,11,2007,pre-2010 TME data collection,1,,A,3,0,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,EUR,12,2006,pre-2010 TME data collection,1,,A,8,0,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,EUR,13,2005,Surveillance,1,,A,9,0,,,,0,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,EUR,14,2004,Surveillance,1,,A,5,0,,,,0,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,EUR,15,2003,Surveillance,1,,A,2,0,,,,0,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,EUR,16,2000,Surveillance,1,,A,4,0,,,,0,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,EUR,17,1999,Surveillance,1,,A,6,0,,,,0,,,,,,,,,,,,,,,,,,,,,
Netherlands Antilles,ANT,AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,EMR,1,2020,Surveillance,1,,N,17,0,,,,,,,,,,,,,29,0,,,,0,,,,0,,,
Argentina,ARG,AMR,1,2005,Survey,1,,A,683,,2.2,1.23,3.62,,0.15,0,0.82,,,,,,,,,,,,,,,,,,
Argentina,ARG,AMR,2,1999,Survey,1,,A,679,,1.77,0.91,3.09,,0.15,0,0.82,,,,,,,,,,,,,,,,,,
Armenia,ARM,EUR,1,2020,Surveillance,1,,A,183,26,,,,,,,,,,,,,198,28,,,,54,,,,28,,,
Armenia,ARM,EUR,2,2019,Surveillance,1,,A,231,33,,,,,,,,,,,,,233,38,,,,85,,,,38,,,
Armenia,ARM,EUR,3,2018,Surveillance,1,,N,250,43,,,,,,,,,,,,,250,51,,,,84,,,,51,,,
