country,iso3,g.whoregion,row.rank.ret,year.ret,source.ret,all.areas.covered.ret,area.desc.ret,surv.quality.ret,dst.rlt.ret,mdr.ret,mdr.ret.pcnt,mdr.ret.pcnt.lo,mdr.ret.pcnt.hi,dr.r.nh.ret,dr.r.nh.ret.pcnt,dr.r.nh.ret.pcnt.lo,dr.r.nh.ret.pcnt.hi,xpert.ret,xpert.dr.r.ret,xpert.dr.r.ret.pcnt,xpert.dr.r.ret.pcnt.lo,xpert.dr.r.ret.pcnt.hi,r.rlt.ret,rr.ret,rr.ret.pcnt,rr.ret.pcnt.lo,rr.ret.pcnt.hi,dst.rlt.hr.ret,dst.rlt.hr.ret.pcnt,dst.rlt.hr.ret.pcnt.lo,dst.rlt.hr.ret.pcnt.hi,dst.rlt.rr.ret,dst.rlt.rr.ret.pcnt,dst.rlt.rr.ret.pcnt.lo,dst.rlt.rr.ret.pcnt.hi
Aruba,ABW,AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,EMR,1,2019,Surveillance,1,,R,20,20,,,,,,,,,,,,,918,221,,,,20,,,,20,,,
Afghanistan,AFG,EMR,2,2018,Surveillance,1,,R,10,10,,,,,,,,,,,,,1628,199,,,,10,,,,10,,,
Angola,AGO,AFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anguilla,AIA,AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,EUR,1,2020,Surveillance,1,,A,,,,,,,,,,,,,,,13,3,,,,,,,,,,,
Albania,ALB,EUR,2,2012,Surveillance,1,,A,15,0,,,,1,,,,0,0,,,,,,,,,,,,,,,,
Albania,ALB,EUR,3,2011,Surveillance,1,,A,11,3,,,,0,,,,0,0,,,,,,,,,,,,,,,,
Albania,ALB,EUR,4,2010,Surveillance,1,,A,19,1,,,,1,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,EUR,1,2017,Surveillance,1,,A,0,0,,,,,,,,,,,,,0,0,,,,0,,,,0,,,
Andorra,AND,EUR,2,2016,Surveillance,1,,A,0,0,,,,0,,,,0,0,,,,,,,,,,,,,,,,
Andorra,AND,EUR,3,2015,Surveillance,1,,A,0,0,,,,0,,,,0,0,,,,,,,,,,,,,,,,
Andorra,AND,EUR,4,2014,Surveillance,1,,A,1,0,,,,1,,,,0,0,,,,,,,,,,,,,,,,
Andorra,AND,EUR,5,2013,Surveillance,1,,A,0,0,,,,0,,,,0,0,,,,,,,,,,,,,,,,
Andorra,AND,EUR,6,2011,Surveillance,1,,A,1,0,,,,0,,,,0,0,,,,,,,,,,,,,,,,
Andorra,AND,EUR,7,2010,Surveillance,1,,A,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,EUR,8,2009,Surveillance,1,,A,1,0,,,,0,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,EUR,9,2008,Surveillance,1,,A,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,EUR,10,2007,pre-2010 TME data collection,1,,A,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,EUR,11,2006,pre-2010 TME data collection,1,,A,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,EUR,12,2000,Surveillance,1,,A,1,0,,,,0,,,,,,,,,,,,,,,,,,,,,
Netherlands Antilles,ANT,AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,EMR,1,2019,Surveillance,1,,R,1,0,,,,,,,,,,,,,2,0,,,,0,,,,0,,,
United Arab Emirates,ARE,EMR,2,2018,Surveillance,1,,R,1,1,,,,,,,,,,,,,1,1,,,,1,,,,1,,,
United Arab Emirates,ARE,EMR,3,2017,Surveillance,1,,R,3,0,,,,,,,,,,,,,4,1,,,,0,,,,1,,,
United Arab Emirates,ARE,EMR,4,2013,Surveillance,1,,R,5,0,,,,0,,,,0,0,,,,,,,,,,,,,,,,
Argentina,ARG,AMR,1,2005,Survey,1,,A,136,,15.44,9.82,22.63,,2.94,0.81,7.36,,,,,,,,,,,,,,,,,,
Argentina,ARG,AMR,2,1999,Survey,1,,A,149,,9.4,5.23,15.26,,0.67,0.02,3.68,,,,,,,,,,,,,,,,,,
Armenia,ARM,EUR,1,2020,Surveillance,1,,A,45,23,,,,,,,,,,,,,48,24,,,,29,,,,24,,,
Armenia,ARM,EUR,2,2019,Surveillance,1,,A,65,23,,,,,,,,,,,,,66,27,,,,33,,,,27,,,
Armenia,ARM,EUR,3,2017,Surveillance,1,,A,108,41,,,,,,,,,,,,,108,48,,,,52,,,,48,,,
Armenia,ARM,EUR,4,2016,Surveillance,1,,A,104,60,,,,7,,,,0,0,,,,,,,,,,,,,,,,
Armenia,ARM,EUR,5,2007,Survey,1,,A,340,,43.24,37.9,48.69,,3.82,2.05,6.45,,,,,,,,,,,,,,,,,,
American Samoa,ASM,WPR,1,2018,Surveillance,1,,R,1,0,,,,,,,,,,,,,1,1,,,,0,,,,0,,,
Antigua and Barbuda,ATG,AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,WPR,1,2019,Surveillance,1,,A,31,3,,,,,,,,,,,,,32,3,,,,5,,,,3,,,
Australia,AUS,WPR,2,2018,Surveillance,1,,A,41,4,,,,,,,,,,,,,41,4,,,,10,,,,4,,,
Australia,AUS,WPR,3,2017,Surveillance,1,,A,25,6,,,,,,,,,,,,,26,6,,,,9,,,,6,,,
Australia,AUS,WPR,4,2015,Surveillance,1,,A,25,6,,,,0,,,,0,0,,,,,,,,,,,,,,,,
Australia,AUS,WPR,5,2014,Surveillance,1,,A,40,4,,,,0,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,WPR,6,2013,Surveillance,1,,A,24,1,,,,2,,,,1,0,,,,,,,,,,,,,,,,
Australia,AUS,WPR,7,2012,Surveillance,1,,A,31,2,,,,0,,,,1,0,,,,,,,,,,,,,,,,
Australia,AUS,WPR,8,2011,Surveillance,1,,A,26,7,,,,0,,,,1,0,,,,,,,,,,,,,,,,
Australia,AUS,WPR,9,2010,Surveillance,1,,A,48,11,,,,0,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,EUR,1,2016,Surveillance,1,,R,17,3,,,,0,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,EUR,2,2015,Surveillance,1,,A,12,2,,,,0,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,EUR,3,2014,Surveillance,1,,A,19,7,,,,0,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,EUR,4,2013,Surveillance,1,,A,24,9,,,,0,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,EUR,5,2012,Surveillance,1,,A,25,9,,,,0,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,EUR,6,2011,Surveillance,1,,A,11,2,,,,0,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,EUR,7,2010,Surveillance,1,,A,16,3,,,,0,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,EUR,8,2009,Surveillance,1,,A,23,8,,,,0,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,EUR,9,2008,Surveillance,1,,A,31,4,,,,0,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,EUR,10,2007,Surveillance,1,,A,8,1,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,EUR,11,2006,pre-2010 TME data collection,1,,A,11,2,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,EUR,12,2005,Surveillance,1,,A,16,2,,,,0,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,EUR,13,2004,Surveillance,1,,A,13,0,,,,0,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,EUR,14,2003,Surveillance,1,,A,14,1,,,,2,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,EUR,15,2002,Surveillance,1,,A,7,0,,,,0,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,EUR,16,2001,Surveillance,1,,A,41,1,,,,1,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,EUR,17,2000,Surveillance,1,,A,67,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,EUR,18,1999,Surveillance,1,,A,53,3,,,,0,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,EUR,1,2020,Surveillance,1,,A,,,,,,,,,,,,,,,2260,552,,,,,,,,,,,
Azerbaijan,AZE,EUR,2,2019,Surveillance,1,,A,1951,303,,,,,,,,,,,,,2183,533,,,,431,,,,533,,,
Azerbaijan,AZE,EUR,3,2018,Surveillance,1,,A,2522,478,,,,,,,,,,,,,2743,701,,,,679,,,,701,,,
Azerbaijan,AZE,EUR,4,2017,Surveillance,1,,A,1707,495,,,,,,,,,,,,,2690,762,,,,846,,,,513,,,
Azerbaijan,AZE,EUR,5,2016,Surveillance,1,,R,1567,616,,,,36,,,,221,54,,,,,,,,,,,,,,,,
Azerbaijan,AZE,EUR,6,2013,Survey,1,,A,240,,27.5,22,33.6,,1.6,0.2,5.7,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,EUR,1001,2007,Survey,0,Baku City,A,552,,55.8,49.73,62.39,,0.18,0,1.01,,,,,,,,,,,,,,,,,,
Burundi,BDI,AFR,1,2018,Surveillance,1,,R,50,50,,,,,,,,,,,,,241,50,,,,50,,,,50,,,
Burundi,BDI,AFR,2,2017,Surveillance,1,,R,50,50,,,,,,,,,,,,,314,50,,,,50,,,,50,,,
Belgium,BEL,EUR,1,2015,Surveillance,1,,A,34,2,,,,1,,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,EUR,2,2014,Surveillance,1,,A,47,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,EUR,3,2013,Surveillance,1,,A,41,1,,,,0,,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,EUR,4,2012,Surveillance,1,,A,53,7,,,,0,,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,EUR,5,2011,Surveillance,1,,A,33,4,,,,0,,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,EUR,6,2010,Surveillance,1,,A,59,9,,,,0,,,,,,,,,,,,,,,,,,,,,
