year,inc.num,inc.lo.num,inc.hi.num,pop,inc,inc.lo,inc.hi,inc.sd,inc.nh.num,inc.nh.lo.num,inc.nh.hi.num,inc.nh,inc.nh.lo,inc.nh.hi,inc.nh.sd,inc.h.num,inc.h.lo.num,inc.h.hi.num,inc.h,inc.h.lo,inc.h.hi,inc.h.sd,mort.nh.num,mort.nh.lo.num,mort.nh.hi.num,mort.nh,mort.nh.lo,mort.nh.hi,mort.nh.sd,mort.h.num,mort.h.lo.num,mort.h.hi.num,mort.h,mort.h.lo,mort.h.hi,mort.h.sd,mort.num,mort.lo.num,mort.hi.num,mort,mort.lo,mort.hi,mort.sd,tbhiv,tbhiv.lo,tbhiv.hi,tbhiv.sd,c.newinc,newinc,cfr,cfr.lo,cfr.hi,cfr.sd
2000,10633901.2508049,8062784.73578359,13554710.2086878,6117972024,173.814152942994,131.788519204638,221.55560953065,22.9351260770143,8845790.57840771,6602730.98392498,11411273.4486857,145.238503697975,108.409843068899,187.361012708247,20.175016813831,1775288.32986316,1244196.21477521,2399265.38345799,29.1483523576945,20.4283828493217,39.3933940871695,4.84981686513373,1737529.87834471,1633344.50792717,1844889.84654679,28.4004220929519,26.6974824585627,30.1552514347814,0.882174804288536,677985.878643424,538029.68775328,833875.596147454,11.0818728164133,8.7942489053997,13.6299347704806,1.2349582906649,2416211.21266137,2237530.2203346,2601655.45988611,39.4936623309635,36.5730704808237,42.5248015139682,1.51852357232383,0.170618234989027,0.106755177571652,0.245747889630761,0.0356117052186978,3748455,61.2695675183754,0.231173922884972,0.17289479764014,0.295070342052339,0.0312287803701993
2001,10778912.9046535,8189037.23877081,13718499.6433632,6196893809,173.94057792307,132.147451467985,221.377032852157,22.7973297772399,9103085.40069517,6803432.49588804,11731852.0331291,147.554100172406,110.278473267734,190.164410626312,20.4136077160749,1660301.84130356,1181262.05472827,2219581.39612331,26.9122317790654,19.1473606893688,35.9777285665557,4.30314368757278,1732679.21033782,1631477.6072341,1836882.15673651,27.9604470197857,26.3273449169749,29.641982150295,0.845654125163859,660065.730679684,523185.197117725,812609.903146867,10.6515578776103,8.44270070204982,13.1131810257371,1.1927800143697,2392585.53972869,2218183.31750089,2573491.04758276,38.6094326201595,35.7950835671789,41.5287259537218,1.46287498152116,0.157378591900911,0.0999743775170121,0.224860011381855,0.0319880617430749,3848055,62.0965134889243,0.225782023198108,0.169279548386121,0.287761609629055,0.0302833904259981
2002,10908656.1344207,8304661.18999674,13861642.6962086,6276734777,173.795078523846,132.30862040607,220.841618909917,22.618886180114,9308743.60203346,6966372.88589233,11984811.1711173,148.962242064181,111.478688048831,191.785746722628,20.520928532822,1585496.25847705,1136738.50150519,2107729.06416955,25.3717459137577,18.1905446174177,33.7287243569527,3.97239626315133,1721821.63114298,1622926.89807476,1823599.07312565,27.4318047888895,25.856228687911,29.0533077772843,0.815659653463092,617977.105941142,488885.649083772,761962.834025151,9.84551885489269,7.78885306537418,12.1394779466743,1.11111214049179,2341218.12705157,2174598.02164446,2513898.91760867,37.2999371525233,34.6453705454132,40.0510616892785,1.37919360317237,0.148459312328501,0.0951083940237499,0.211167039649129,0.0297223971035536,4101395,65.3428119191661,0.218255497212638,0.164098174783379,0.277711905038286,0.0290375803739736
2003,11044461.8275901,8431775.51082555,14003692.1788838,6355936462,173.766082993768,132.659845818729,220.324609325583,22.3964272159218,9469517.73257235,7101978.51442271,12171833.182014,149.615992249246,112.209469624124,192.311894908362,20.4681703607664,1561140.66460318,1115941.50731382,2079885.56702967,24.6656288283652,17.631594408929,32.86166747496,3.8937655064213,1691863.36800194,1596487.93781691,1789965.9843353,26.6186324881789,25.1180600586832,28.1621126176592,0.776616286380259,614019.611842608,483522.602283613,759868.700119902,9.66056875353654,7.60741717879704,11.9552595382742,1.1104477433058,2305935.02932098,2140107.15412737,2477860.39777357,36.2800201529292,33.6709966646512,38.9849774708709,1.35579836081995,0.144305373351687,0.0924157814671045,0.205374200071097,0.028928229944809,4525143,71.1955354974724,0.212254951609202,0.160009529950544,0.269640710627771,0.0280184680348332
2004,11108183.1271369,8501528.17416556,14057407.3626055,6435710463,172.602282079029,132.099295377601,218.428213068689,22.054598247644,9542846.65179313,7171968.89882891,12246540.8034686,148.737609555598,111.78441284273,190.878180368826,20.2099867219915,1552765.35551606,1099678.67480087,2082771.76395755,24.2018567003599,17.1399146750844,32.4626921844891,3.9179050936076,1641054.07206588,1549212.72707016,1735502.01381015,25.499190516736,24.0721321441797,26.9667509715959,0.738491081518132,605400.104641443,477457.00210573,748299.655791097,9.40688845655801,7.41887014418551,11.6273045546906,1.07482788672457,2241367.07435139,2079872.46899891,2408811.78247536,34.8270340506676,32.3176824214894,37.4288401618443,1.30405111824023,0.142506802720158,0.090710552757213,0.203618981027969,0.0289179785140776,4826950,75.0025972695783,0.20507059984009,0.154989943671732,0.260118566425598,0.0268665480475593
2005,11159494.392802,8576665.2223934,14076455.3953274,6516277492,171.255665623547,131.619091312838,216.019888849255,21.5611212150948,9563084.93717293,7218771.93625709,12231445.6193376,146.903023528425,110.890934313065,187.892960839411,19.6746038697734,1594778.26049611,1119034.03317141,2153450.38508645,24.4981352631945,17.1900055247951,33.0801592442166,4.06343981250357,1617858.93852836,1529531.55735074,1708630.11928588,24.8279625985019,23.4724742650776,26.2209539324186,0.701204725482485,643619.923224356,507419.191607461,795766.139400797,9.87711042101146,7.78694879446766,12.2119744037567,1.13014860182915,2256729.50024652,2090038.87288187,2429722.1335282,34.6321884391372,32.0741232313663,37.286965395675,1.33000318390936,0.14531753822873,0.0919956226378815,0.208291637118532,0.0297883779001153,5148430,79.0087593157397,0.205430507807256,0.155781549631591,0.259942758692645,0.0266183044152643
2006,11167855.7289943,8629106.89200926,14028379.5921577,6597730533,169.268139599455,130.789016751274,212.624318650053,20.9046434406658,9518088.32726831,7224148.29590984,12122973.8948054,144.320266034815,109.537857613041,183.817459711846,18.9779346237958,1648139.64842093,1154006.44117301,2228924.8357122,24.990307333164,17.4978956771015,33.7966001366069,4.16802541121017,1563256.89070369,1479939.56280006,1648823.1158694,23.6938578028417,22.4310398158551,24.9907617115075,0.653045801516525,655662.417178455,521967.318845846,804369.87873537,9.93769621082605,7.91131611445954,12.1916145970518,1.0930904903692,2219045.4881788,2057357.80416208,2386760.15158622,33.6334664939672,31.1828104205189,36.1754718482107,1.27382181080226,0.149889204410131,0.0949934344616437,0.214612870795423,0.0306395634665967,5416209,82.0920007707141,0.201729953422596,0.15382637767548,0.254273586871848,0.0256673887419759
2007,11131505.8290108,8656998.73401341,13911776.2636211,6680020882,166.638787896693,129.595384309959,208.259472677814,20.0933123581664,9555770.24861082,7317947.35287107,12087105.5804096,143.107276352613,109.593626355075,181.016570469592,18.2464282889607,1574127.39712031,1119432.88749911,2105090.13179624,23.5741419658624,16.7646340819913,31.5258432758906,3.77412767261653,1537102.11581444,1456861.92217623,1619462.46673513,23.0104387840512,21.8092420354836,24.2433743148758,0.621003204312448,640052.869505085,523789.992389759,767793.388769062,9.58159983047019,7.84114303895612,11.4938770751145,0.932610774360005,2176940.99033857,2032644.04569029,2326114.19591043,32.5888351068566,30.4287079575972,34.8219599459394,1.12086446330181,0.143525403733825,0.0925991642837207,0.203327559352244,0.0283538697927134,5594219,83.7455316206301,0.198409160456396,0.152589472429001,0.248563478185464,0.0245218696387203
2008,11079095.7887849,8707850.67434753,13731043.9530251,6763040153,163.81827607323,128.756453863206,203.030643651201,18.9701185667172,9487267.69969418,7324578.72249118,11925023.349138,140.335430883489,108.344988630812,176.394652598545,17.3832693155088,1590221.34656594,1174018.72573538,2068578.84209612,23.5225151154581,17.3660561666949,30.5983674447581,3.38175919355405,1497387.10639644,1421384.5822768,1575340.77303893,22.1407395567838,21.0169472621908,23.2933819317948,0.58076885920285,608360.686663298,497564.918905575,730126.16553134,8.99537298168246,7.35711910101349,10.7958277492625,0.87797014587366,2105200.2068976,1967909.67486543,2247052.90536823,31.1280157927756,29.0980037134999,33.2254852038912,1.05305402714714,0.145514547517661,0.0975384194061587,0.20111229134029,0.0265070685216562,5742609,84.9116502354736,0.192563555001467,0.149672991888342,0.239402380340986,0.0229234975439213
2009,11056731.0674064,8770643.22671929,13603116.9449595,6846605069,161.492169563993,128.102075968,198.684118740127,18.025621145936,9471572.15299024,7375269.5474255,11825701.4308199,138.380576023547,107.753394242946,172.774630171898,16.6082952276893,1584222.05838938,1197208.4188739,2024592.1275117,23.1456359565312,17.491329628071,29.5794848302304,3.08857809567997,1466341.25327245,1391335.3705044,1543288.08573211,21.4170561686365,20.3215368271215,22.5409245922449,0.566215472442807,592743.736330866,487779.522148295,707783.093147128,8.65748396989752,7.12439986288766,10.3377233828167,0.820385636609342,2059170.64354389,1927517.52922014,2195109.91432416,30.0757911810539,28.1528948989265,32.0612901168078,0.997154077259466,0.145109225724601,0.0997604334689034,0.197221904974204,0.0249339178017885,5851936,85.4720834782241,0.188557133601075,0.14792961550303,0.232820880890775,0.0216852568682355
