year,inc.num,inc.lo.num,inc.hi.num,pop,inc,inc.lo,inc.hi,inc.sd,inc.h.num,inc.h.lo.num,inc.h.hi.num,inc.h,inc.h.lo,inc.h.hi,inc.h.sd,mort.nh.num,mort.nh.lo.num,mort.nh.hi.num,mort.nh,mort.nh.lo,mort.nh.hi,mort.nh.sd,mort.h.num,mort.h.lo.num,mort.h.hi.num,mort.h,mort.h.lo,mort.h.hi,mort.h.sd,mort.num,mort.lo.num,mort.hi.num,mort,mort.lo,mort.hi,mort.sd,tbhiv,tbhiv.lo,tbhiv.hi,tbhiv.sd,c.newinc,newinc
2000,8943620.74538129,6413378.48395178,11886900.6617034,3735656558,239.412285538624,171.680088476479,318.201110759159,37.4586304854394,1471841.35900891,956948.654400632,2095750.86803282,39.3998039208643,25.6166122217874,56.1012725740196,7.80348881314384,1469859.48597056,1368175.02241806,1575135.48530592,39.3467510503025,36.6247539401898,42.1648901832995,1.4134860604367,561175.616357914,424335.937000757,716842.84305529,15.0221415605282,11.3590725060641,19.189206286112,2.00062211317218,2031035.10232847,1855617.30861779,2214257.48228136,54.3688926108307,49.6731238487099,59.273582779966,2.44957785807318,0.168597488410073,0.0954792960574942,0.25732579508547,0.0415377021882209,2741908,73.3982890940051
2001,9080546.33015771,6530688.60984376,12042978.7325536,3789329165,239.634667107567,172.344188785821,317.812948101424,37.1883299180768,1377855.58930394,913475.377151484,1936116.60316586,36.3614647687631,24.1065195810585,51.0939144862032,6.90636874010506,1467504.39815898,1368780.1647087,1569616.17180024,38.7272874500725,36.121965263704,41.4220064674755,1.35222080060443,551594.240106401,417630.119237579,703905.279174898,14.5565142559053,11.0212151294483,18.5759866331089,1.93024050133553,2019098.63826538,1847831.88707436,2197842.89410749,53.2838017059778,48.7640900701314,58.0008439068261,2.35676250109834,0.155391393807575,0.0898008874716907,0.234874300426526,0.0372170756482522,2814026,74.2618515697092
2002,9213338.31281045,6648387.86450946,12189101.6027211,3842687266,239.762897031196,173.014023892452,317.202539758308,36.8595994185546,1318870.20660405,883324.083106158,1840290.84561756,34.3215597655677,22.98714472348,47.8907264169115,6.37221052143195,1455088.28716455,1358729.32232497,1554700.19475121,37.8664248854996,35.358831678731,40.4586709021876,1.30113807465602,517813.619832182,391405.595829211,661636.749994256,13.4752995491927,10.1857259968137,17.2180743368944,1.79679232592879,1972901.90699673,1809334.26655698,2143442.62346797,51.3417244346922,47.0851292678935,55.7797831333582,2.21842803620856,0.146531077207162,0.0856833323287551,0.220219876845259,0.0345055949164902,3041731,79.1563504767395
2003,9339995.72975769,6765856.67480596,12321548.9838996,3895823389,239.74381785708,173.669491638394,316.275861444078,36.4535139509651,1302408.01180453,870463.923923511,1819963.87460732,33.430879220088,22.3435160428806,46.7157695019248,6.23643496687567,1427969.36020931,1335071.90646015,1523945.82449152,36.6538525396514,34.2693128808092,39.1174258256788,1.2369098054535,520578.300539558,392519.012424117,666436.60968442,13.3624717693679,10.0753800475763,17.1064379244226,1.79650896815731,1948547.66074887,1785537.90732067,2118572.45287727,50.0163243090193,45.8321060539397,54.3806081882239,2.18114427296698,0.14266809702125,0.0835174727258169,0.214369063519035,0.0335593292448805,3369103,86.4798699425848
2004,9429293.48090444,6859972.24358661,12399857.5860948,3948851459,238.78572235007,173.720696126762,314.011750374499,35.8598925370478,1302752.19761833,862627.911561553,1832121.61067124,32.9906609844533,21.8450331828892,46.3963162376131,6.28304715804374,1380843.61582934,1291656.27852764,1472965.12918803,34.9682339324817,32.7096699366539,37.3011024719842,1.17142066192134,514609.687068224,389023.400568843,657491.671308977,13.0318826223598,9.85155822162424,16.6502001439041,1.73707759494133,1895453.30289756,1736742.14123129,2061001.09830868,48.0001165548416,43.9809438076737,52.1924189782161,2.09515272427176,0.141276010060943,0.0822861762441219,0.212930215497425,0.0335088146720328,3788801,95.9469111294318
2005,9474443.88576287,6928543.31565181,12411489.0037668,4001864200,236.750759452629,173.132894305904,310.142683096713,35.0191077800637,1344415.46237387,882851.094917486,1901454.552896,33.5947297355535,22.0609958458232,47.5142198202528,6.51462060083518,1361370.20303477,1275672.1011374,1449813.81857639,34.0184008001764,31.8769462776224,36.2284611900721,1.11020446959672,550009.269240382,416200.662679823,702179.914052929,13.7438264207062,10.4001695679684,17.5463203887061,1.82584848169099,1911379.47227516,1747423.65143004,2082578.32626958,47.7622272208826,43.6652411001363,52.0402048192836,2.13688479858083,0.145003753221232,0.0840885940588782,0.219006018325948,0.0346080231224886,4044890,101.075143929172
2006,9497483.44743223,6994072.88875355,12376951.196769,4054885545,234.223218930147,172.485087708032,305.235525378287,33.9277816149873,1390861.05916006,910708.178778925,1971016.07038947,34.3008709795794,22.459528602525,48.6084267611424,6.69294719699677,1324964.2481848,1244078.90838303,1408360.13785855,32.675749623034,30.6809870359247,34.7324264083156,1.03364018629976,559826.60028363,428416.429205603,708543.745957723,13.8062244685042,10.5654382707269,17.4738284988442,1.76489905420591,1884790.84846843,1725723.49395063,2050766.94708952,46.4819740915382,42.5591172623501,50.5752116633299,2.04530699560499,0.14951796367555,0.0868113059107973,0.225550384177338,0.0355882525679817,4327205,106.715835798024
2007,9481264.13618463,7040186.8212761,12279140.3906571,4107930573,230.803904002217,171.380375012879,298.913045691756,32.5912818444168,1327957.85732252,885965.568852141,1857940.03882296,32.3266869710684,21.5671991799298,45.2281265665626,6.05456541999352,1306581.92007667,1228791.3293781,1386725.46808687,31.8063291688613,29.9126605852232,33.7572761623902,0.980869141474968,544966.415158509,430788.679320663,672361.220095705,13.2662031520295,10.4867565715956,16.3673949242205,1.50187499470338,1851548.33523518,1709918.24740106,1998730.63738803,45.0725323208908,41.624808818332,48.655414249817,1.79380399498193,0.1428540324326,0.0847931359813054,0.212919724991107,0.0328527461191661,4511890,109.83364786287
2008,9453142.22362451,7112160.08427476,12121224.1755346,4161067079,227.18072177525,170.921543662881,291.300859741189,30.7589065659747,1360386.22010775,954204.707989869,1837438.52956921,32.6932057157483,22.9317309688549,44.1578685150827,5.42798645157906,1271283.17726974,1197665.21258343,1347065.1572701,30.5518549240801,28.7826461300705,32.3730699768923,0.916013523248355,523275.887238696,414178.806052294,644932.49895128,12.5755215502186,9.95366809015322,15.4992093784336,1.41627702239503,1794559.06450843,1659617.2674404,1934697.67574338,43.1273764742987,39.8844151255365,46.4952292047243,1.68668947318053,0.146546423944364,0.091495688273447,0.2118325996016,0.0308302703797241,4657768,111.936864068035
2009,9442258.81173527,7184168.25651753,12003448.6978808,4214368902,224.04917631331,170.468424183468,284.821973989613,29.2158359101112,1356943.16026946,978495.453925428,1796278.10193674,32.1980156892649,23.2180778825761,42.6227068324344,4.96053335801195,1246710.3710347,1174057.07877965,1321513.31044313,29.5823740167371,27.8584316200341,31.3573239830993,0.892662294151469,510413.808245576,406978.754235228,625382.714153595,12.1112750239627,9.65693235924575,14.8392969077009,1.32343928792843,1757124.17928027,1627720.78345831,1891404.46588575,41.6936490406997,38.6231205978634,44.8798980314265,1.59635131479016,0.146153223219363,0.0940598348845356,0.207331261011352,0.0290063713918149,4748453,112.67293182964
2010,9341998.60595959,7170836.11472021,11795220.5529072,4267878517,218.890921303128,168.018749506506,276.37198448653,27.6803848743113,1294184.31389136,940279.543185574,1703722.11260203,30.3238320569882,22.0315442307041,39.9196487391966,4.57245642778908,1218754.0627793,1145681.00668724,1294053.52424204,28.5564375350588,26.844274084272,30.3207675449878,0.886951939003685,489398.166730175,389896.339705156,600036.185864528,11.4670125867169,9.13560070072529,14.0593548638847,1.25740617437206,1708152.22950947,1581844.33669881,1839240.52433663,40.0234501217756,37.0639494633678,43.0949596388576,1.53875080160869,0.140749350997006,0.0917086389426884,0.198192857961579,0.0272628302680148,4714760,110.470810760427
2011,9300531.18518263,7218582.73611346,11641640.7313938,4321598896,215.210421165903,167.035000466954,269.382721801625,26.1433694394489,1253857.54102022,955339.647062018,1592327.10809664,29.0137417005722,22.1061618639866,36.8457866270391,3.76572490738897,1195402.25295384,1123575.71552393,1269422.07284348,27.6611106611556,25.9990744759744,29.3738984897104,0.861013500995047,409690.435881572,330021.870053482,497842.553358575,9.48006619172304,7.6365687329045,11.519869505228,0.991605967944732,1605092.68883541,1495770.02103381,1718214.92083671,37.1411768528787,34.6114958150853,39.7587782250467,1.31325041197761,0.136805159329001,0.0933277876072212,0.186999096828432,0.0239663747080802,4763905,110.234779178822
2012,9252683.33516964,7235500.82266987,11513555.1156238,4375486530,211.466388291444,165.364486281937,263.137711353527,24.9731050682551,1197730.56167258,888038.33817273,1553019.46223193,27.3736544144402,20.295762130314,35.4936405719419,3.88391393855481,1169623.73750577,1097801.27805795,1243689.12599242,26.7312841551765,25.0898104823546,28.424019076855,0.8506546187878,380413.050420268,294780.772861283,476797.342165706,8.69418858478962,6.73709702544285,10.8970131412039,1.06261111758192,1550036.78792604,1435488.08082075,1668918.40004907,35.4254727399661,32.8075077132223,38.142464583226,1.36115967750801,0.131252152245383,0.0880744465881524,0.181450767394515,0.023896107451051,4736204,108.244053947528
2013,9152935.25184287,7212249.64772035,11320825.9520463,4429470074,206.637252288227,162.82420983166,255.579691541366,23.6898158711162,1114952.55745642,870583.537212135,1389083.2240117,25.1712403251338,19.6543496776796,31.3600318052786,2.98988929710216,1153981.35234839,1081190.0956086,1229109.73365415,26.0523568975441,24.4090168247202,27.7484600442104,0.851994372398178,352803.128227272,285419.830468846,427219.56649458,7.96490601207913,6.44365636747829,9.64493628712525,0.817421843242146,1506784.48057566,1406009.48367089,1610996.66130405,34.0172629096232,31.7421601270963,36.3699637742276,1.18070863484924,0.1234147014178,0.0867728850470019,0.165403032302986,0.0201094050273484,4687281,105.820355972451
