country,iso3,g.whoregion,year.new,source.new,all.areas.covered.new,surv.quality.new,dst.rlt.new,mdr.new,mdr.new.pcnt,mdr.new.pcnt.lo,mdr.new.pcnt.hi,dr.r.nh.new,dr.r.nh.new.pcnt,dr.r.nh.new.pcnt.lo,dr.r.nh.new.pcnt.hi,xpert.new,xpert.dr.r.new,xpert.dr.r.new.pcnt,xpert.dr.r.new.pcnt.lo,xpert.dr.r.new.pcnt.hi,r.rlt.new,rr.new,rr.new.pcnt,rr.new.pcnt.lo,rr.new.pcnt.hi,dst.rlt.hr.new,dst.rlt.hr.new.pcnt,dst.rlt.hr.new.pcnt.lo,dst.rlt.hr.new.pcnt.hi,dst.rlt.rr.new,dst.rlt.rr.new.pcnt,dst.rlt.rr.new.pcnt.lo,dst.rlt.rr.new.pcnt.hi,dr.h.nr.new,dr.h.nr.new.pcnt,dr.h.nr.new.pcnt.lo,dr.h.nr.new.pcnt.hi,year.ret,source.ret,all.areas.covered.ret,surv.quality.ret,dst.rlt.ret,mdr.ret,mdr.ret.pcnt,mdr.ret.pcnt.lo,mdr.ret.pcnt.hi,dr.r.nh.ret,dr.r.nh.ret.pcnt,dr.r.nh.ret.pcnt.lo,dr.r.nh.ret.pcnt.hi,xpert.ret,xpert.dr.r.ret,xpert.dr.r.ret.pcnt,xpert.dr.r.ret.pcnt.lo,xpert.dr.r.ret.pcnt.hi,r.rlt.ret,rr.ret,rr.ret.pcnt,rr.ret.pcnt.lo,rr.ret.pcnt.hi,dst.rlt.hr.ret,dst.rlt.hr.ret.pcnt,dst.rlt.hr.ret.pcnt.lo,dst.rlt.hr.ret.pcnt.hi,dst.rlt.rr.ret,dst.rlt.rr.ret.pcnt,dst.rlt.rr.ret.pcnt.lo,dst.rlt.rr.ret.pcnt.hi,dr.h.nr.ret,dr.h.nr.ret.pcnt,dr.h.nr.ret.pcnt.lo,dr.h.nr.ret.pcnt.hi
Aruba,ABW,AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,EMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,AFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anguilla,AIA,AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,EUR,2012,Surveillance,1,A,172,1,,,,3,,,,0,0,,,,,,,,,,,,,,,,,13,,,,2012,Surveillance,1,A,15,0,,,,1,,,,0,0,,,,,,,,,,,,,,,,,2,,,
Andorra,AND,EUR,2020,Surveillance,1,N,1,0,,,,,,,,,,,,,1,0,,,,0,,,,0,,,,,,,,2014,Surveillance,1,A,1,0,,,,1,,,,0,0,,,,,,,,,,,,,,,,,0,,,
United Arab Emirates,ARE,EMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,Surveillance,1,R,1,1,,,,,,,,,,,,,1,1,,,,1,,,,1,,,,,,,
Argentina,ARG,AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,ARM,EUR,2020,Surveillance,1,A,183,26,,,,,,,,,,,,,198,28,,,,54,,,,28,,,,,,,,2020,Surveillance,1,A,45,23,,,,,,,,,,,,,48,24,,,,29,,,,24,,,,,,,
American Samoa,ASM,WPR,2019,Surveillance,1,N,1,0,,,,,,,,,,,,,1,0,,,,0,,,,0,,,,,,,,2018,Surveillance,1,R,1,0,,,,,,,,,,,,,1,1,,,,0,,,,0,,,,,,,
Antigua and Barbuda,ATG,AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,WPR,2020,Surveillance,1,N,729,10,,,,,,,,,,,,,735,14,,,,64,,,,14,,,,,,,,2019,Surveillance,1,A,31,3,,,,,,,,,,,,,32,3,,,,5,,,,3,,,,,,,
Austria,AUT,EUR,2015,Surveillance,1,A,264,5,,,,1,,,,,,,,,,,,,,,,,,,,,,11,,,,2016,Surveillance,1,R,17,3,,,,0,,,,,,,,,,,,,,,,,,,,,,1,,,
