country,iso2,year,new.labconf,new.clindx,new.ep,ret.rel.labconf,ret.rel.clindx,ret.rel.ep,ret.nrel,ret.nrel.clindx,c.newunk,c.newinc,c.ret,c.notified,pulm.labconf.new,pulm.labconf.ret,pulm.labconf.unk,notif.foreign,rel.in.agesex.flg,agegroup.option,newrel.m04,newrel.m59,newrel.m1014,newrel.m514,newrel.m014,newrel.m1519,newrel.m2024,newrel.m1524,newrel.m2534,newrel.m3544,newrel.m4554,newrel.m5564,newrel.m65,newrel.m15plus,newrel.mu,newrel.f04,newrel.f59,newrel.f1014,newrel.f514,newrel.f014,newrel.f1519,newrel.f2024,newrel.f1524,newrel.f2534,newrel.f3544,newrel.f4554,newrel.f5564,newrel.f65,newrel.f15plus,newrel.fu,c.new.014,rdx.data.available,newinc.rdx,rdxsurvey.newinc,rdxsurvey.newinc.rdx,gaps.na.tbcases,remarks.tbcases,conf.rr.nfqr,conf.rr.fqr,unconf.rr.nfqr.tx,conf.rr.nfqr.tx,rrmdr.014.tx,conf.rr.fqr.tx,mdrxdr.bdq.used,mdrxdr.bdq.tx,mdrxdr.alloral.used,mdrxdr.alloral.tx,mdr.alloral.short.used,mdr.alloral.short.tx,mdr.tx.adsm,gaps.na.mdr.patients,remarks.mdr.patients,r.rlt.new,r.rlt.ret,rr.new,rr.ret,r.rlt.rel,rr.rel,dst.rlt.new,dst.rlt.ret,dst.rlt.hr.new,dst.rlt.hr.ret,dst.rlt.rr.new,dst.rlt.rr.ret,mdr.new,mdr.ret,rr.dst.rlt.fq,rr.fqr,rr.fqr.bdqr.lzdr,rr.fqr.bdqs.lzdr,rr.fqr.bdqu.lzdr,rr.fqr.bdqr.lzds,rr.fqr.bdqs.lzds,rr.fqr.bdqu.lzds,rr.fqr.bdqr.lzdu,rr.fqr.bdqs.lzdu,rr.fqr.bdqu.lzdu,gaps.na.dr.surveillance,remarks.dr.surveillance,newrel.tbhiv.flg,newrel.hivtest,newrel.hivpos,newrel.art,tbhiv.014.flg,newrel.hivtest.014,newrel.hivpos.014,newrel.art.014,gaps.na.hiv.patients,remarks.hiv.patients,hiv.tbrx.art,hiv.tbrx.art.NA,hiv.tbrx.art.NI.reason,hiv.tbrx.art.remarks,hiv.tbdetect,hiv.reg.new2,hiv.tbdetect.hiv.reg.new2.NA,hiv.tbdetect.hiv.reg.new2.NI.reason,hiv.tbdetect.hiv.reg.new2.remarks,hiv.tpt.eligible.start,hiv.tpt.eligible,hiv.art.tpt.start,hiv.art,hiv.tpt.eligible.start.NA,hiv.tpt.eligible.start.NI.reason,hiv.tpt.eligible.start.remarks,hiv.tpt.completed,hiv.tpt.eligible.start.ym2,hiv.tpt.completed.NA,hiv.tpt.completed.NI.reason,hiv.tpt.completed.remarks,hiv.unaids.date.exported,tbhiv.surveil,tbhiv.surv.prev,tbhiv.surv.yr,tbhiv.surv.cil,tbhiv.surv.ciu,tbhiv.sentin.prev,tbhiv.sentin.yr,tbhiv.sentin.cil,tbhiv.sentin.ciu,gaps.na.nonroutine.hiv,remarks.nonroutine.hiv,total.deaths.vr,r00.r99.deaths.vr,tbdeaths.vr,gaps.na.tbdeaths,remarks.tbdeaths
Andorra,AD,2020,1,,1,,,,0,0,2,2,0,2,1,,,0,1,220,,,,,,,,,,1,,,,1,,,,,,,,,,,1,,,,1,,,60,2,,,1,,0,0,0,0,0,0,0,,0,,0,,0,1,,1,,0,,,,1,0,0,0,0,0,0,0,,,,,,,,,,,,1,,1,0,0,0,,,,,1,,,1,,,,,1,,,,,,,1,,,,,1,,,2021-06-28,0,,,,,,,,,1,,,,0,1,
United Arab Emirates,AE,2020,33,2,33,0,0,0,0,,68,68,0,68,33,0,0,0,1,221,2,,,1,,,,4,13,5,7,3,10,42,0,0,,,0,,,,0,3,4,4,2,7,20,3,3,60,37,,,0,,0,0,0,0,0,0,0,,0,,0,,0,0,,29,0,0,0,,,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,52,3,3,,,,,0,,3,0,,,1,70,0,,,1,1,1,70,0,,,1,1,0,,,2021-06-28,0,,,,,,,,,0,,,,,,
Afghanistan,AF,2020,22888,10917,11401,435,108,69,240,,45206,45818,852,46058,22855,642,33,0,,221,2134,,,2546,,,,4186,3229,1991,1651,1833,2365,15255,0,1631,,,4110,,,,5960,4815,3302,2714,2570,1781,21142,0,10421,60,11856,,,0,,424,,0,348,17,27,1,348,1,330,1,348,348,1,"Among cases enrolled in 2019 and 2020, 84 and 207 of them DST performed for FQ that 26 (31%) and 66(32%) of them reported resistance to FQ. ",10255,2055,280,144,,,563,,213,,280,,105,,207,66,,,,,,,,,,1,,1,29764,11,11,,,,,0,"In 2020, totally 8 HIV know cases diagnosed as active tuberculosis, but 6 of them belong to HIV cases were detected in 2020 and another 2 HIV known cases detected before 2020, got tuberculosis in 2020. Among know TB cases, only 5 of them reported HIV positive that all enrolled for ART. ",8,0,,,6,8,0,,,,,,,1,,,,,1,,,2021-06-28,0,,,,,,,,,0,,,,,,
Antigua and Barbuda,AG,2020,1,1,0,0,0,0,0,,2,2,0,2,1,0,0,1,0,220,0,0,0,,,0,0,,0,1,0,0,1,2,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,60,1,,,0,,0,0,0,0,0,0,0,,0,,0,,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,2,0,0,1,0,0,0,0,,0,0,,,0,19,0,,"Willi update if changes are require
",,,,,1,,,,,,Reporting dates were not provided.,,2021-06-28,0,,,,,,,,,0,,,,,,
Anguilla,AI,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,2021-06-28,,,,,,,,,,,,,,,,
Albania,AL,2020,134,51,38,13,3,1,0,0,223,240,17,240,134,13,0,0,1,220,0,1,1,,,9,23,,32,27,22,24,40,177,0,0,0,1,,,4,6,,11,5,8,10,16,60,0,3,60,138,,,1,,4,,4,4,0,0,1,4,1,2,1,2,2,1,,125,13,1,3,,,,,,,,,,,0,,,,,,,,,,,1,,1,199,2,2,,,,,1,,2,0,,,1,72,0,,,,,,,1,,,,,1,,,2021-06-28,0,,,,,,,,,1,,,,13,1,
Armenia,AM,2020,199,64,106,17,5,3,50,17,369,394,75,444,199,52,0,4,1,220,16,3,1,,,15,11,,47,43,60,63,40,279,0,2,1,0,,,7,6,,21,22,5,16,15,92,0,23,60,326,,,0,,270,52,2,52,0,7,1,50,1,46,1,8,50,0,,198,48,28,24,,,183,45,54,29,28,24,26,23,52,11,,,,,,,,,,1,DST testing for new drugs will be available in Armenia since May 2021,1,369,39,,,,,,1,,50,0,,,35,279,0,,,,,,,1,,,,,1,,,2021-06-28,0,,,,,,,,,0,,,,,1,
Angola,AO,2020,31268,25350,3857,2672,640,79,2911,,60475,63866,6302,66777,31018,4634,250,6,1,221,1025,,,2190,,,,8481,9318,6870,4072,2404,1408,32553,197,1018,,,2407,,,,6936,6180,4687,3015,1770,1057,23645,112,6640,0,,,,0,,1199,2722,0,1199,36,0,1,1199,1,0,1,1199,0,0,Le manuel sur aDSM a déjà été élaboré mais la surveillance active des effets indésirables n'est pas encore mise en oeuvre. ,1095,2460,250,949,2460,116,1095,2460,250,949,250,949,250,949,,,,,,,,,,,,1,Nous n'avons pas encore initié le test de sensibilité aux medicaments anti tuberculeux de deuxième ligne,0,44763,5246,3530,,,,,0,,3495,0,,"Livros de registo de co-infecção dos programas VIH e TB
",3495,38881,0,,"Novo instrumento de registo e recolha de dados integrados de VIH/TB
",,,,,0,,"Estes dados somente estão nos novos instrumentos integrados (em cerca de 60% das unidades sanitárias)
",,,1,,,2021-06-28,0,,,,,,,,,0,,,,,,
Argentina,AR,2020,6321,1687,1067,185,43,19,463,,9075,9322,710,9785,4653,530,1668,28,1,220,119,92,122,,,489,741,,1229,878,676,680,510,5203,9,99,81,136,,,417,544,,850,584,410,314,329,3448,13,649,60,278,,,0,,110,3,14,96,7,3,1,101,0,,0,,101,0,,1155,181,78,24,,,1155,181,114,24,78,24,57,16,74,3,0,0,0,0,0,3,0,0,0,0,,1,1464,474,467,1,74,3,,1,,467,0,,,,,1,,"Este indicador no lo podemos contestar debido a la falta de información consolidada. El fortalecimiento de los sistemas de información se han visto diezmados por las dificultades que acarrea la pandemia de COVID-19. Para construir este dato deberíamos cruzar de fuentes, por un lado la base del Instituto Nacional de Enfermedades Respiratorias (INER) “Dr. Emilio Coni"" casos nuevos de TB-VIH y El registro de notificaciones del SNVS 2.0 para el total de casos de VIH.
La información que contamos el indicador quedaría así: 

Número total de personas con VIH con tuberculosis (TB) activa, expresado como el porcentaje de los pacientes que se incluyen por primera vez en el tratamiento para el VIH durante el periodo de notificación = 19,8%		
Número total de personas con VIH recién incluidas en tratamiento para el VIH y con TB activa durante el periodo de notificación = 467*	
Número total de personas que se incluyeron por primera vez en tratamiento frente al VIH (es decir los que se registra",,,,,1,,"La información no se encuentra consolidad, este indicador será respondido en el informe Global de Tuberculosis de OMS que todos los años envía Instituto Nacional de Enfermedades Respiratorias (INER) “Dr. Emilio Coni”
",,,1,,"La información no se encuentra consolidad, este indicador será respondido en el informe Global de Tuberculosis de OMS que todos los años envía Instituto Nacional de Enfermedades Respiratorias (INER) “Dr. Emilio Coni”
",2021-06-28,0,,,,,,,,,0,,,,,,
American Samoa,AS,2020,3,0,0,,,,0,,3,3,0,3,3,0,0,2,1,221,0,,,0,,,,0,0,1,0,0,0,1,0,0,,,0,,,,0,0,0,1,0,1,2,0,0,60,2,,,1,Xpert MTB/RIF equipment was offline in 2020. All 3 cases were confirmed by normal procedures with running AFB smears locally and sending sputum samples off-island.,0,0,0,0,0,0,0,,0,,0,,0,1,,3,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,,0,0,0,0,,,,,0,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,2021-06-28,0,,,,,,,,,0,,,,,,
