iso3,year,saved.hivneg,saved.hivneg.lo,saved.hivneg.hi,saved.hivpos,saved.hivpos.lo,saved.hivpos.hi,saved,saved.lo,saved.hi
ABW,2000,0,0,0,6.18e-09,2.66e-09,9.86e-09,6.18e-09,2.66e-09,9.86e-09
ABW,2001,0,0,0,6.32e-09,2.71e-09,1.01e-08,6.32e-09,2.71e-09,1.01e-08
ABW,2002,0,0,0,6.46e-09,2.78e-09,1.03e-08,6.46e-09,2.78e-09,1.03e-08
ABW,2003,0,0,0,6.59e-09,2.82e-09,1.05e-08,6.59e-09,2.82e-09,1.05e-08
ABW,2004,0,0,0,6.72e-09,2.89e-09,1.07e-08,6.72e-09,2.89e-09,1.07e-08
ABW,2005,0,0,0,6.8e-09,2.93e-09,1.08e-08,6.8e-09,2.93e-09,1.08e-08
ABW,2006,0,0,0,6.86e-09,2.95e-09,1.09e-08,6.86e-09,2.95e-09,1.09e-08
ABW,2007,0,0,0,6.88e-09,2.95e-09,1.1e-08,6.88e-09,2.95e-09,1.1e-08
ABW,2008,0,0,0,6.89e-09,2.96e-09,1.1e-08,6.89e-09,2.96e-09,1.1e-08
ABW,2009,0,0,0,6.9e-09,2.97e-09,1.1e-08,6.9e-09,2.97e-09,1.1e-08
ABW,2010,0,0,0,6.91e-09,2.98e-09,1.1e-08,6.91e-09,2.98e-09,1.1e-08
ABW,2011,0,0,0,6.94e-09,2.99e-09,1.11e-08,6.94e-09,2.99e-09,1.11e-08
ABW,2012,0,0,0,6.98e-09,3.01e-09,1.11e-08,6.98e-09,3.01e-09,1.11e-08
ABW,2013,0,0,0,7.02e-09,3.02e-09,1.12e-08,7.02e-09,3.02e-09,1.12e-08
ABW,2014,0,0,0,7.06e-09,3.03e-09,1.12e-08,7.06e-09,3.03e-09,1.12e-08
ABW,2015,0,0,0,7.1e-09,3.06e-09,1.13e-08,7.1e-09,3.06e-09,1.13e-08
ABW,2016,0,0,0,7.13e-09,3.06e-09,1.14e-08,7.13e-09,3.06e-09,1.14e-08
ABW,2017,0,0,0,7.17e-09,3.07e-09,1.14e-08,7.17e-09,3.07e-09,1.14e-08
ABW,2018,0,0,0,7.2e-09,3.1e-09,1.15e-08,7.2e-09,3.1e-09,1.15e-08
ABW,2019,0,0,0,7.23e-09,3.11e-09,1.15e-08,7.23e-09,3.11e-09,1.15e-08
ABW,2020,0,0,0,7.26e-09,3.13e-09,1.16e-08,7.26e-09,3.13e-09,1.16e-08
ABW,Cumulative,0,0,0,1.45e-07,1.26e-07,1.63e-07,1.45e-07,1.26e-07,1.63e-07
AFG,2000,3.88,0,14,0.00029,0,0.00319,3.88,0,14
AFG,2001,4.77,0,15.4,0.000205,0,0.000494,4.77,0,15.4
AFG,2002,5.95,0,17.1,0.000235,0,0.00162,5.95,0,17.1
AFG,2003,6.03,0,17.7,0.000222,0,0.000824,6.03,0,17.7
AFG,2004,7.63,0,19.7,0.000279,0,0.00215,7.63,0,19.7
AFG,2005,8.91,0,21.4,0.000342,0,0.00308,8.91,0,21.4
AFG,2006,10.3,0,23,0.000425,0,0.00457,10.3,0,23
AFG,2007,11.6,0.858,24.5,0.000555,0,0.00717,11.6,0.858,24.5
AFG,2008,11.4,0.246,24.7,0.000539,0,0.00622,11.4,0.246,24.7
AFG,2009,10.6,0,24.4,0.00051,0,0.00453,10.6,0,24.4
AFG,2010,11.3,0,25.4,0.000596,0,0.00621,11.3,0,25.4
AFG,2011,11.4,0,25.9,0.000693,0,0.00753,11.4,0,25.9
AFG,2012,11.6,0,26.6,0.000802,0,0.00937,11.6,0,26.6
AFG,2013,12.4,0,27.9,0.000985,0,0.0128,12.4,0,27.9
AFG,2014,12.9,0,28.9,0.00114,0,0.0157,12.9,0,28.9
AFG,2015,14.5,0.788,30.8,0.00155,0,0.0229,14.5,0.789,30.8
AFG,2016,16.8,3.37,33.4,0.00239,0,0.0344,16.8,3.37,33.4
AFG,2017,18.7,5.19,35.6,0.00344,0,0.0456,18.7,5.19,35.6
AFG,2018,19.4,5.65,36.6,0.00435,0,0.0544,19.4,5.66,36.6
AFG,2019,21,7.16,38.5,0.00268,0,0.0279,21,7.17,38.5
AFG,2020,20.9,6.61,38.9,1.31e-08,0,0,20.9,6.61,38.9
AFG,Cumulative,252,193,311,0.0222,-0.0385,0.083,252,193,311
AGO,2000,4.81,0,14.7,6.02,0,13.8,10.8,1.53,23
AGO,2001,6.66,0,17.5,4.21,0,11.8,10.9,0.907,23.7
AGO,2002,9.43,0,21.1,4.73,0,12.6,14.2,2.91,27.9
AGO,2003,11.5,0.906,24.3,5.26,0,13.7,16.7,4.45,31.6
AGO,2004,11.3,0,25.5,5.37,0,14.9,16.6,3.14,33.3
AGO,2005,11.7,0,27.6,6.01,0,17.2,17.7,2.76,36.5
AGO,2006,15.6,4.48,29.1,8.03,0,19.7,23.6,9.16,40.9
AGO,2007,15.1,0,34.4,2.59,0,5.96,17.7,2.54,37.1
AGO,2008,13.4,0,31.7,8.24,0,23.6,21.7,3.52,44.8
AGO,2009,15.2,0,36.6,2.61,0,6.36,17.8,1.87,39.5
AGO,2010,13.5,0,33.4,8.46,0,25.4,22,2.42,47.2
AGO,2011,16.4,0,37.8,4.64,0,10.8,21,3.71,43.1
AGO,2012,15.6,0,36.4,9.51,0,27.6,25.1,4.2,51.8
AGO,2013,17.9,0.826,39,10,0,28.1,27.9,6.5,54.8
AGO,2014,16.8,0,38.5,8.74,0,26.3,25.5,4.12,52.5
AGO,2015,19,1.04,41.2,8.82,0,25.9,27.9,6.22,54.9
AGO,2016,19.3,0.639,42,8.35,0,25,27.6,5.7,54.9
AGO,2017,18,0,41.5,7.43,0,23.8,25.4,3.38,53.1
AGO,2018,24,3.66,48.7,4.46,0.906,8.64,28.4,7.79,53.5
AGO,2019,27.4,6.87,52.9,3.99,1.22,7.31,31.4,10.6,57
AGO,2020,25.7,5.53,51,7.65,2.25,13.3,33.4,12.4,59.1
AGO,Cumulative,328,248,408,135,88.5,182,463,371,556
AIA,2000,0,0,0,7.65e-10,3.3e-10,1.22e-09,7.65e-10,3.3e-10,1.22e-09
AIA,2001,0,0,0,7.83e-10,3.37e-10,1.25e-09,7.83e-10,3.37e-10,1.25e-09
AIA,2002,0,0,0,8e-10,3.44e-10,1.27e-09,8e-10,3.44e-10,1.27e-09
AIA,2003,0,0,0,8.16e-10,3.5e-10,1.3e-09,8.16e-10,3.5e-10,1.3e-09
AIA,2004,0,0,0,8.32e-10,3.58e-10,1.33e-09,8.32e-10,3.58e-10,1.33e-09
AIA,2005,0,0,0,8.47e-10,3.66e-10,1.35e-09,8.47e-10,3.66e-10,1.35e-09
AIA,2006,0,0,0,8.61e-10,3.69e-10,1.37e-09,8.61e-10,3.69e-10,1.37e-09
AIA,2007,0,0,0,8.75e-10,3.76e-10,1.39e-09,8.75e-10,3.76e-10,1.39e-09
AIA,2008,0,0,0,8.88e-10,3.81e-10,1.42e-09,8.88e-10,3.81e-10,1.42e-09
AIA,2009,0,0,0,9.01e-10,3.88e-10,1.43e-09,9.01e-10,3.88e-10,1.43e-09
AIA,2010,0,0,0,9.14e-10,3.92e-10,1.46e-09,9.14e-10,3.92e-10,1.46e-09
AIA,2011,0,0,0,9.26e-10,3.98e-10,1.48e-09,9.26e-10,3.98e-10,1.48e-09
AIA,2012,0,0,0,9.38e-10,4.03e-10,1.5e-09,9.38e-10,4.03e-10,1.5e-09
AIA,2013,0,0,0,9.49e-10,4.09e-10,1.51e-09,9.49e-10,4.09e-10,1.51e-09
AIA,2014,4.66e-10,2.04e-10,8.04e-10,0.000855,0,0.00289,0.000855,2.82e-10,0.00289
AIA,2015,0,0,0,9.71e-10,4.17e-10,1.55e-09,9.71e-10,4.17e-10,1.55e-09
AIA,2016,0,0,0,9.82e-10,4.22e-10,1.56e-09,9.82e-10,4.22e-10,1.56e-09
AIA,2017,0,0,0,9.93e-10,4.28e-10,1.58e-09,9.93e-10,4.28e-10,1.58e-09
AIA,2018,0,0,0,1e-09,4.31e-10,1.6e-09,1e-09,4.31e-10,1.6e-09
AIA,2019,0,0,0,1.01e-09,4.36e-10,1.61e-09,1.01e-09,4.36e-10,1.61e-09
AIA,2020,0,0,0,1.02e-09,4.4e-10,1.63e-09,1.02e-09,4.4e-10,1.63e-09
AIA,Cumulative,4.66e-10,1.64e-10,7.67e-10,0.000855,-0.000813,0.00252,0.000855,-0.000813,0.00252
ALB,2000,0.275,0.179,0.388,0.00063,0,0.00154,0.276,0.179,0.388
ALB,2001,0.254,0.167,0.353,0.000512,0,0.00128,0.254,0.167,0.354
ALB,2002,0.273,0.179,0.384,0.000521,0,0.0014,0.274,0.179,0.384
ALB,2003,0.255,0.168,0.355,0.000503,0,0.00146,0.256,0.169,0.356
ALB,2004,0.244,0.158,0.342,0.000551,0,0.00171,0.244,0.159,0.343
ALB,2005,0.238,0.16,0.326,0.000599,0,0.00195,0.238,0.161,0.327
ALB,2006,0.221,0.149,0.301,0.000658,0,0.00222,0.221,0.15,0.301
ALB,2007,0.2,0.134,0.274,0.000656,0,0.00243,0.201,0.135,0.274
ALB,2008,0.194,0.13,0.266,0.00081,0,0.00285,0.195,0.131,0.267
ALB,2009,0.214,0.147,0.289,0.00105,0,0.00357,0.215,0.148,0.29
ALB,2010,0.203,0.138,0.276,0.00108,0,0.00389,0.204,0.139,0.277
ALB,2011,0.199,0.135,0.269,0.00126,0,0.00439,0.2,0.137,0.271
ALB,2012,0.191,0.131,0.259,0.00145,0,0.0048,0.193,0.132,0.261
ALB,2013,0.224,0.151,0.306,0.0017,0,0.00586,0.225,0.153,0.308
ALB,2014,0.191,0.131,0.259,0.00152,0,0.00518,0.193,0.132,0.261
ALB,2015,0.195,0.133,0.264,0.00166,0,0.00544,0.197,0.134,0.266
ALB,2016,0.195,0.133,0.264,0.00173,0,0.00559,0.197,0.134,0.266
ALB,2017,0.238,0.16,0.327,0.00211,0,0.00686,0.24,0.162,0.329
ALB,2018,0.207,0.141,0.282,0.00194,0,0.00609,0.209,0.142,0.284
ALB,2019,0.191,0.13,0.259,0.00642,0.00135,0.0137,0.197,0.136,0.265
ALB,2020,0.169,0.113,0.23,0.00153,0,0.0075,0.17,0.115,0.232
ALB,Cumulative,4.57,4.21,4.93,0.0289,0.0163,0.0414,4.6,4.24,4.95
AND,2000,0,0,0,4.45e-09,1.91e-09,7.08e-09,4.45e-09,1.91e-09,7.08e-09
AND,2001,0,0,0,4.58e-09,1.97e-09,7.3e-09,4.58e-09,1.97e-09,7.3e-09
AND,2002,0,0,0,4.77e-09,2.05e-09,7.59e-09,4.77e-09,2.05e-09,7.59e-09
AND,2003,0,0,0,4.98e-09,2.14e-09,7.93e-09,4.98e-09,2.14e-09,7.93e-09
AND,2004,0,0,0,5.19e-09,2.22e-09,8.27e-09,5.19e-09,2.22e-09,8.27e-09
