iso3,scenario,hiv,measure,variable,best,lo,hi
AGO,Disruption,a,inc,excess20,-0.506899851031628,-0.757036958059174,-0.170225634374748
AGO,Disruption,a,inc,excess2025,4.6018281457463,3.07306066338323,6.65682300441219
AGO,Disruption,pos,inc,excess20,-0.161613465513455,-0.811019133100698,1.28591482756457
AGO,Disruption,pos,inc,excess2025,3.95054564187054,0.544204230385717,6.73684811834875
BGD,Disruption,a,inc,excess20,-0.646812775973205,-1.59515039976689,0.849657698673529
BGD,Disruption,a,inc,excess2025,4.19655366589364,2.83736498529671,5.98002856684563
BRA,Disruption,a,inc,excess20,-2.44426720088994,-3.31983444981366,-1.54562921040939
BRA,Disruption,a,inc,excess2025,1.70490795171623,0.794983381560295,2.53289868158076
BRA,Disruption,pos,inc,excess20,-2.8615314959489,-3.54795100507684,-2.09508816094751
BRA,Disruption,pos,inc,excess2025,1.67168952633225,1.10550591898375,2.19147642803889
CHN,Disruption,a,inc,excess20,2.47536885725912,1.39362978642062,3.99737053446404
CHN,Disruption,a,inc,excess2025,4.01260275932895,0.43451964254152,7.1439879762336
IDN,Disruption,a,inc,excess20,-2.13022789919464,-2.79426041599527,-1.08254147445393
IDN,Disruption,a,inc,excess2025,13.6472554717854,9.06331691070407,18.504458158327
IND,Disruption,a,inc,excess20,-1.56212396815646,-2.99063522422795,-0.451769139027333
IND,Disruption,a,inc,excess2025,7.92560651422669,5.38454168059824,9.8074738005759
KEN,Disruption,a,inc,excess20,-0.107573676420092,-0.458353207126593,0.373711640032351
KEN,Disruption,a,inc,excess2025,2.73239183976226,1.75760625495746,4.02285859890496
KEN,Disruption,pos,inc,excess20,-0.0525278527682693,-0.544398222220292,0.771483471170977
KEN,Disruption,pos,inc,excess2025,2.74605856094172,1.75433813633672,3.90202411856538
MMR,Disruption,a,inc,excess20,-2.41508047509513,-4.48704613104631,1.50577197068986
MMR,Disruption,a,inc,excess2025,10.312452732842,6.36556623173381,18.3912554943263
PAK,Disruption,a,inc,excess20,-0.150609331856244,-0.743307663090772,0.523597844266457
PAK,Disruption,a,inc,excess2025,3.74147210651559,2.44102756678978,5.00437786668162
PER,Disruption,a,inc,excess20,1.05972505433691,-0.244402475910774,2.83879727366445
PER,Disruption,a,inc,excess2025,17.6035673015305,11.6754870313728,23.2949863194535
PHL,Disruption,a,inc,excess20,-0.358008098412554,-1.78078392308082,1.89807247812968
PHL,Disruption,a,inc,excess2025,18.5549527436249,9.72220082917675,29.4094802535211
RUS,Disruption,a,inc,excess20,-0.0323688594888072,-0.540884799972851,0.544140826069902
RUS,Disruption,a,inc,excess2025,5.24714526285137,-3.94527363835622,10.4417161812403
UGA,Disruption,a,inc,excess20,0.374085509297384,-0.0349672993858768,1.24376642331319
UGA,Disruption,a,inc,excess2025,1.58975052735721,1.1329335725115,2.23739531467859
UGA,Disruption,pos,inc,excess20,0.601694995411872,0.0646154399704802,1.51626431254949
UGA,Disruption,pos,inc,excess2025,1.5065626389126,1.09107501609289,1.96953362456961
UKR,Disruption,a,inc,excess20,-1.93364929284322,-3.41259075656592,0.509676196653217
UKR,Disruption,a,inc,excess2025,3.78443117435026,1.2531233847283,7.08522512260908
VNM,Disruption,a,inc,excess20,0.937805721281726,0.35566591728304,1.89644092495627
VNM,Disruption,a,inc,excess2025,6.47798511705,4.83385056366387,8.5577012281731
ZAF,Disruption,a,inc,excess20,-2.54323491864774,-3.39795591710385,-1.10634118389878
ZAF,Disruption,a,inc,excess2025,3.98587266631394,2.17669229076151,8.62840497556704
ZAF,Disruption,pos,inc,excess20,-2.86158405781152,-4.05635056459819,-1.22819412754323
ZAF,Disruption,pos,inc,excess2025,4.06019297675124,1.96962259493297,8.22044843751864
AGO,Disruption,a,mort,excess20,2.36180413036329,1.36208327495276,3.35184970018414
AGO,Disruption,a,mort,excess2025,7.89530889919472,5.64356990700249,10.1957023045888
AGO,Disruption,pos,mort,excess20,2.58142217516768,1.52821171608419,3.56254160591348
AGO,Disruption,pos,mort,excess2025,8.27840533574993,5.01690801025726,11.1364269012614
BGD,Disruption,a,mort,excess20,13.1416524114331,8.03144092168538,20.2925720054453
BGD,Disruption,a,mort,excess2025,9.18762212410336,7.62073594232915,11.295617822667
BRA,Disruption,a,mort,excess20,8.87430642209996,6.36567265070534,11.1436397318921
BRA,Disruption,a,mort,excess2025,6.22578252535604,5.07365343839303,7.17621289318104
BRA,Disruption,pos,mort,excess20,7.55647986942427,5.36937631297642,9.74675641626121
BRA,Disruption,pos,mort,excess2025,5.38942186550095,4.27037829474397,6.46365041162867
CHN,Disruption,a,mort,excess20,79.3385815952573,43.030953185565,102.989949645799
CHN,Disruption,a,mort,excess2025,24.0625220671709,19.3969747553496,27.3683052724619
IDN,Disruption,a,mort,excess20,13.6338583518639,8.32250436823388,20.5861158473039
IDN,Disruption,a,mort,excess2025,26.5720203949289,19.336634826032,34.554137152835
IND,Disruption,a,mort,excess20,14.9381082475641,8.68842586684027,20.888401303391
IND,Disruption,a,mort,excess2025,17.755898437492,13.7771757419345,20.7582908480703
KEN,Disruption,a,mort,excess20,3.40705252093723,1.80896850683286,5.43133401732924
KEN,Disruption,a,mort,excess2025,4.84323528253228,3.66594232970804,6.49066096388618
KEN,Disruption,pos,mort,excess20,3.39089960876622,1.30531940403007,5.55775587407009
KEN,Disruption,pos,mort,excess2025,4.84482929126391,3.08404592307153,6.79471590288815
MMR,Disruption,a,mort,excess20,9.90284109544925,5.43890110668973,14.5211906556424
MMR,Disruption,a,mort,excess2025,18.9433199474988,13.6060963858583,23.4462338627724
PAK,Disruption,a,mort,excess20,9.15671507712499,5.10396477970246,14.1753819832921
PAK,Disruption,a,mort,excess2025,7.62505089603691,5.60447116931978,9.29879636340117
PER,Disruption,a,mort,excess20,29.4287913374317,18.5072692410064,39.4538237926112
PER,Disruption,a,mort,excess2025,35.7744351416383,27.6357094328999,42.9034498479331
PHL,Disruption,a,mort,excess20,16.6024377334567,8.18676382615186,24.9434850763205
PHL,Disruption,a,mort,excess2025,31.7430549553422,19.9580076072354,42.3734415614964
RUS,Disruption,a,mort,excess20,2.27994679160053,0.857927653097431,2.72570683304922
RUS,Disruption,a,mort,excess2025,7.90610208351308,0.770213972543312,12.7058885411839
UGA,Disruption,a,mort,excess20,5.16278850111735,3.52550952389225,7.12202339170324
UGA,Disruption,a,mort,excess2025,2.88869825702527,2.38556669037527,3.56424571919044
UGA,Disruption,pos,mort,excess20,4.86704755077174,3.06163967234967,7.42618437311059
UGA,Disruption,pos,mort,excess2025,2.69006327634238,2.08225334311722,3.60954780451135
UKR,Disruption,a,mort,excess20,44.0417427465419,22.8321515519648,77.7306619117666
UKR,Disruption,a,mort,excess2025,24.9598729005211,11.9705048294666,48.082660173152
VNM,Disruption,a,mort,excess20,11.2244875889804,6.77319927124195,17.7513624398481
VNM,Disruption,a,mort,excess2025,13.4085959663121,10.6678060113453,17.2767723544381
ZAF,Disruption,a,mort,excess20,12.9313194509753,7.93673395105417,23.1205910371768
ZAF,Disruption,a,mort,excess2025,11.989354810854,8.96053889365247,18.9201140621217
ZAF,Disruption,pos,mort,excess20,12.8610617784111,8.01995537775089,26.8834677732082
ZAF,Disruption,pos,mort,excess2025,12.8519830933701,9.7936263759242,22.6895585667526
