iso3,year,pop,c.newinc
ABW,1980,60097,
ABW,1981,60561,
ABW,1982,61341,
ABW,1983,62213,
ABW,1984,62826,
ABW,1985,63024,
ABW,1986,62645,
ABW,1987,61838,
ABW,1988,61072,
ABW,1989,61033,
ABW,1990,62152,
ABW,1991,64623,
ABW,1992,68240,
ABW,1993,72495,
ABW,1994,76705,
ABW,1995,80324,
ABW,1996,83211,
ABW,1997,85450,
ABW,1998,87280,
ABW,1999,89009,
ABW,2000,90866,
ABW,2001,92892,
ABW,2002,94992,
ABW,2003,97016,
ABW,2004,98744,
ABW,2005,100028,
ABW,2006,100830,
ABW,2007,101226,
ABW,2008,101362,
ABW,2009,101452,
ABW,2010,101665,6
ABW,2011,102050,8
ABW,2012,102565,28
ABW,2013,103165,11
ABW,2014,103776,2
ABW,2015,104339,
ABW,2016,104865,14
ABW,2017,105361,8
ABW,2018,105846,5
ABW,2019,106310,2
ABW,2020,106766,1
AFG,1980,13356500,71685
AFG,1981,13171679,71554
AFG,1982,12882518,41752
AFG,1983,12537732,52502
AFG,1984,12204306,18784
AFG,1985,11938204,10742
AFG,1986,11736177,14351
AFG,1987,11604538,18091
AFG,1988,11618008,16051
AFG,1989,11868873,14386
AFG,1990,12412311,4332
AFG,1991,13299016,23067
AFG,1992,14485543,
AFG,1993,15816601,
AFG,1994,17075728,
AFG,1995,18110662,
AFG,1996,18853444,
AFG,1997,19357126,1290
AFG,1998,19737770,3084
AFG,1999,20170847,3314
AFG,2000,20779957,7107
AFG,2001,21606992,10139
AFG,2002,22600774,13794
AFG,2003,23680871,13808
AFG,2004,24726689,18404
AFG,2005,25654274,21844
AFG,2006,26433058,25475
AFG,2007,27100542,28769
AFG,2008,27722281,28301
AFG,2009,28394806,26150
AFG,2010,29185511,28029
AFG,2011,30117411,27983
AFG,2012,31161378,28679
AFG,2013,32269592,30507
AFG,2014,33370804,31746
AFG,2015,34413603,35878
AFG,2016,35383028,41954
AFG,2017,36296111,46640
AFG,2018,37171922,48420
AFG,2019,38041757,52438
AFG,2020,38928341,45818
AGO,1980,8341290,10117
AGO,1981,8640478,7501
AGO,1982,8952971,7911
AGO,1983,9278104,6625
AGO,1984,9614756,10153
AGO,1985,9961993,8653
AGO,1986,10320116,9363
AGO,1987,10689247,8510
AGO,1988,11068051,8184
AGO,1989,11454784,9587
AGO,1990,11848385,10271
AGO,1991,12248901,11134
AGO,1992,12657361,11272
AGO,1993,13075044,8269
AGO,1994,13503753,7157
AGO,1995,13945205,5143
AGO,1996,14400722,15424
AGO,1997,14871572,15066
AGO,1998,15359600,14296
AGO,1999,15866871,14235
AGO,2000,16395477,16062
AGO,2001,16945753,21713
AGO,2002,17519418,29996
AGO,2003,18121477,36079
AGO,2004,18758138,35437
AGO,2005,19433604,37175
AGO,2006,20149905,50419
AGO,2007,20905360,41292
AGO,2008,21695636,44576
AGO,2009,22514275,41221
AGO,2010,23356247,44655
AGO,2011,24220660,47240
AGO,2012,25107925,51819
AGO,2013,26015786,58607
AGO,2014,26941773,53552
AGO,2015,27884380,59705
AGO,2016,28842482,59513
AGO,2017,29816769,54401
AGO,2018,30809787,66189
AGO,2019,31825299,74105
AGO,2020,32866268,63147
