country,iso2,iso3,year,case.type,sex,age.group,prev,prev.lo,prev.hi
Bangladesh,BD,BGD,2008,s,a,15_24,43,,
Bangladesh,BD,BGD,2008,s,a,15plus,79,47,134
Bangladesh,BD,BGD,2008,s,a,25_34,46,,
Bangladesh,BD,BGD,2008,s,a,35_44,82,,
Bangladesh,BD,BGD,2008,s,a,45_54,99,,
Bangladesh,BD,BGD,2008,s,a,55_64,201,,
Bangladesh,BD,BGD,2008,s,a,65plus,150,,
Bangladesh,BD,BGD,2008,s,f,15plus,40,,
Bangladesh,BD,BGD,2008,s,m,15plus,122,,
Bangladesh,BD,BGD,2015,b,a,15_24,103,65,152
Bangladesh,BD,BGD,2015,b,a,15plus,287,244,330
Bangladesh,BD,BGD,2015,b,a,25_34,183,122,244
Bangladesh,BD,BGD,2015,b,a,35_44,302,215,389
Bangladesh,BD,BGD,2015,b,a,45_54,338,235,441
Bangladesh,BD,BGD,2015,b,a,55_64,462,317,607
Bangladesh,BD,BGD,2015,a,a,all,260,220,301
Bangladesh,BD,BGD,2015,s,a,35_44,138,74,202
Bangladesh,BD,BGD,2015,s,a,45_54,137,72,202
Bangladesh,BD,BGD,2015,s,a,55_64,147,64,229
Bangladesh,BD,BGD,2015,s,a,65plus,333,185,480
Bangladesh,BD,BGD,2015,s,f,15plus,48,30,67
Bangladesh,BD,BGD,2015,s,m,15plus,187,141,234
Bangladesh,BD,BGD,2015,b,a,65plus,954,715,1194
Bangladesh,BD,BGD,2015,b,f,15plus,143,109,178
Bangladesh,BD,BGD,2015,b,m,15plus,452,379,526
Bangladesh,BD,BGD,2015,s,a,15_24,45,21,69
Bangladesh,BD,BGD,2015,s,a,15plus,113,87,139
Bangladesh,BD,BGD,2015,s,a,25_34,77,39,116
China,CN,CHN,1990,a,a,all,215,201,230
China,CN,CHN,1990,b,a,3monthplus,177,165,189
China,CN,CHN,1990,b,f,3monthplus,118,,
China,CN,CHN,1990,b,m,3monthplus,208,,
China,CN,CHN,1990,s,a,15_24,115,,
China,CN,CHN,1990,s,a,25_34,250,,
China,CN,CHN,1990,s,m,3monthplus,160,,
China,CN,CHN,1990,s,a,35_44,305,,
China,CN,CHN,1990,s,a,3monthplus,134,124,144
China,CN,CHN,1990,s,a,45_54,476,,
China,CN,CHN,1990,s,a,55_64,708,,
China,CN,CHN,1990,s,a,65plus,1575,,
China,CN,CHN,1990,s,f,3monthplus,89,,
China,CN,CHN,2000,a,a,all,170,146,196
China,CN,CHN,2000,b,a,3monthplus,160,143,177
China,CN,CHN,2000,b,f,3monthplus,117,,
China,CN,CHN,2000,b,m,3monthplus,311,,
China,CN,CHN,2000,s,a,15_24,181,,
China,CN,CHN,2000,s,a,25_34,129,,
China,CN,CHN,2000,s,m,3monthplus,243,,
China,CN,CHN,2000,s,a,35_44,268,,
China,CN,CHN,2000,s,a,3monthplus,122,108,137
China,CN,CHN,2000,s,a,45_54,301,,
China,CN,CHN,2000,s,a,55_64,566,,
China,CN,CHN,2000,s,a,65plus,2018,,
China,CN,CHN,2000,s,f,3monthplus,92,,
China,CN,CHN,2010,a,a,all,108,94,123
China,CN,CHN,2010,b,a,15_24,45,16,75
China,CN,CHN,2010,b,a,15plus,119,103,135
China,CN,CHN,2010,b,a,25_34,69,38,100
China,CN,CHN,2010,b,a,35_44,79,55,104
China,CN,CHN,2010,b,a,45_54,103,71,135
China,CN,CHN,2010,s,f,15plus,33,23,42
China,CN,CHN,2010,s,a,25_34,35,15,55
China,CN,CHN,2010,s,a,35_44,38,21,55
China,CN,CHN,2010,s,a,45_54,67,38,95
China,CN,CHN,2010,s,a,55_64,136,90,181
China,CN,CHN,2010,s,m,15plus,99,74,123
China,CN,CHN,2010,s,a,65plus,189,138,238
China,CN,CHN,2010,b,a,55_64,200,151,249
China,CN,CHN,2010,b,a,65plus,369,303,435
China,CN,CHN,2010,b,f,15plus,59,46,72
China,CN,CHN,2010,b,m,15plus,177,149,204
China,CN,CHN,2010,s,a,15_24,20,1,39
China,CN,CHN,2010,s,a,15plus,66,53,79
Ethiopia,ET,ETH,2011,b,a,15_24,292,194,390
Ethiopia,ET,ETH,2011,b,a,15plus,277,208,347
Ethiopia,ET,ETH,2011,b,a,25_34,216,129,303
Ethiopia,ET,ETH,2011,b,a,35_44,259,135,382
Ethiopia,ET,ETH,2011,b,a,45_54,337,161,513
