iso3,year,hiv,tb,ill_def,tb_seq,total,prop.tb,tb.imp,garbage,garbage.imp,totaltb,seq.prop,tb.prop,codqual,min.coverage,max.coverage,min.usability,max.usability,use.ghe,keep.vr,vr.coverage,tb.adj,tb.adj.sd,pop
ALB,2000,0,16,1621,0,15628,0.00102380342974149,16,0.103724084975685,0.103724084975685,16,0,0.00114228599985721,low,89,100,,,no,FALSE,89,16,0.499048619485082,3129246
ALB,2001,0,14,1366,1,15143,0.000924519580003962,14,0.0902066961632437,0.0902066961632437,15,0.0666666666666667,0.00108877114030631,low,89,100,,,no,FALSE,89,15,0.467287421718255,3129701
ALB,2002,0,14,1746,0,16247,0.000861697544161999,14,0.107465993721918,0.107465993721918,14,0,0.000965450658575271,low,89,100,,,no,FALSE,89,14,0.436815007031221,3126183
ALB,2003,1,12,2087,1,17965,0.000667965488449763,12,0.116170331199555,0.116170331199555,13,0.0769230769230769,0.000818742914724776,low,89,100,,,no,FALSE,89,13,0.405932502154612,3118017
ALB,2004,2,12,2092,6,17748,0.000676132521974307,12,0.117872436330854,0.117872436330854,18,0.333333333333333,0.00114971895758815,low,89,100,,,no,FALSE,89,18,0.562146650868919,3104893
ALB,2005,0,7,2195,1,17427,0.00040167556091123,7,0.125953979457164,0.125953979457164,8,0.125,0.000525210084033613,low,89,100,,,no,FALSE,89,8,0.250025007271395,3086810
ALB,2006,1,4,2031,3,16935,0.00023619722468261,4,0.119929140832595,0.119929140832595,7,0.428571428571429,0.000469672571121847,low,89,100,,,no,FALSE,89,7,0.218653123608578,3063021
ALB,2007,1,4,1431,5,14528,0.000275330396475771,4,0.0984994493392071,0.0984994493392071,9,0.555555555555556,0.000687180270290906,low,89,100,,,no,FALSE,89,9,0.280582497465527,3033993
ALB,2008,0,10,1589,0,16143,0.000619463544570402,10,0.0984327572322369,0.0984327572322369,10,0,0.000687096330905593,low,89,100,,,no,FALSE,89,10,0.311756453448729,3002683
ALB,2009,1,3,1639,0,15662,0.000191546418081982,3,0.104648193078789,0.104648193078789,3,0,0.000213934250873565,low,89,100,,,no,FALSE,89,3,0.0935794198335235,2973044
ALB,2010,0,4,1479,0,12139,0.000329516434632177,4,0.121838701705248,0.121838701705248,4,0,0.000375234521575985,low,89,100,,,no,FALSE,89,4,0.12496614976948,2948029
ARE,2005,,23,1665,,8368,0.00274856596558317,23,0.198972275334608,0.198972275334608,23,,0.00343129941817097,very low,57,58,22,22,no,FALSE,57,23,4.35783107973194,4588222
ARE,2006,,38,1935,,8409,0.00451896777262457,38,0.230110595790225,0.230110595790225,38,,0.00586963237565647,very low,57,58,22,22,no,FALSE,57,38,7.20510688765324,5300172
ARE,2007,,36,2061,,9615,0.00374414976599064,36,0.214352574102964,0.214352574102964,36,,0.00476568705321684,very low,57,58,22,22,no,FALSE,57,36,6.82339153126819,6168846
ARE,2008,,39,2137,,9711,0.00401606425702811,39,0.220059726083822,0.220059726083822,39,,0.00514919461315025,very low,57,58,22,22,no,FALSE,57,39,7.39298797026469,7089486
ARE,2009,,38,2011,,10023,0.0037912800558715,38,0.200638531377831,0.200638531377831,38,,0.00474288567149276,very low,57,58,22,22,no,FALSE,57,38,7.20017364981521,7917368
ARE,2010,,36,1479,,9639,0.00373482726423903,36,0.153439153439153,0.153439153439153,36,,0.00441176470588235,very low,57,58,22,22,no,FALSE,57,36,6.81373815015521,8549998
ARE,2019,6,12,2204,,8798,0.00136394635144351,12,0.250511479881791,0.250511479881791,12,,0.00181983621474067,very low,57,58,22,22,no,FALSE,57,12,2.27637582189239,9770526
ARG,2000,1471,797,18391,31,276722,0.00288014686219383,797,0.0664602019355165,0.0664602019355165,828,0.03743961352657,0.00320519024042798,medium,100,100,66,72,yes,TRUE,100,828,0.137664109851905,36870796
ARG,2001,1469,769,18738,30,285005,0.00269819827722321,769,0.0657462149786846,0.0657462149786846,799,0.0375469336670839,0.00300074737012097,medium,100,100,66,72,yes,TRUE,100,799,0.131414464456212,37275644
ARG,2002,1524,791,20958,29,290283,0.00272492705394391,791,0.0721985097301599,0.0721985097301599,820,0.0353658536585366,0.00304464865868375,medium,100,100,66,72,yes,TRUE,100,820,0.148113880961603,37681743
ARG,2003,1572,732,22919,28,301130,0.00243084382160529,732,0.076109985720453,0.076109985720453,760,0.0368421052631579,0.00273173957895267,medium,100,100,66,72,yes,TRUE,100,760,0.144719118569343,38087866
ARG,2004,1447,673,21631,31,293163,0.00229565122474528,673,0.0737848909992052,0.0737848909992052,704,0.0440340909090909,0.00259269625679478,medium,100,100,66,72,yes,TRUE,100,704,0.129957297008566,38491970
ARG,2005,1305,679,21661,30,292400,0.00232216142270862,679,0.0740800273597811,0.0740800273597811,709,0.0423131170662905,0.00261875828750199,medium,100,100,66,72,yes,TRUE,100,709,0.131404192757155,38892924
ARG,2006,1398,658,20818,27,291788,0.00225506189425199,658,0.0713463199309087,0.0713463199309087,685,0.0394160583941606,0.00252795512418349,medium,100,100,66,72,yes,TRUE,100,685,0.12226780646206,39289876
