iso3,year
AGO,2020
BDI,2020
BEN,2020
BFA,2020
BWA,2020
CAF,2020
CIV,2020
CMR,2020
COD,2020
COG,2020
COM,2018
CPV,2020
DZA,2020
ERI,2020
ETH,2020
GAB,2020
GHA,2020
GIN,2020
GMB,2020
GNB,2020
GNQ,2020
KEN,2020
LBR,2020
LSO,2020
MDG,2020
MLI,2020
MOZ,2020
MRT,2020
MUS,2020
MWI,2020
NAM,2020
NER,2020
NGA,2020
RWA,2020
SEN,2020
SLE,2020
SSD,2020
STP,2020
SWZ,2020
SYC,2020
TCD,2020
TGO,2020
TZA,2020
UGA,2020
ZAF,2020
ZMB,2020
ZWE,2020
ABW,2020
AIA,2016
ANT,
ARG,2020
ATG,2020
BHS,2020
BLZ,2020
BMU,2020
BOL,2020
BRA,2020
BRB,2020
CAN,2019
CHL,2020
COL,2020
CRI,2019
CUB,2020
CUW,2017
CYM,2020
DMA,2019
DOM,2020
ECU,2020
GRD,2020
GTM,2020
GUY,2020
HND,2020
HTI,2020
JAM,2020
KNA,2020
LCA,2020
MEX,2020
MSR,2018
NIC,2020
PAN,2020
PER,2020
PRI,2020
PRY,2020
SLV,2020
SUR,2020
SXM,2020
TCA,2019
TTO,2020
URY,2020
USA,2020
VCT,2020
VEN,2020
VGB,2018
AFG,2020
ARE,2020
BHR,2020
DJI,2018
EGY,2020
IRN,2020
IRQ,2020
JOR,2020
KWT,2020
LBN,2020
LBY,2020
MAR,2020
OMN,2020
PAK,2020
PSE,2020
QAT,2020
SAU,2020
SDN,2020
SOM,2020
SYR,2020
TUN,2020
YEM,2020
ALB,2020
AND,2020
ARM,2020
AUT,2020
AZE,2020
BEL,2020
BGR,2019
BIH,2020
BLR,2020
CHE,2020
CYP,2019
CZE,2020
DEU,2020
DNK,2019
ESP,2020
EST,2020
FIN,2020
FRA,2020
GBR,2020
GEO,2020
GRC,2019
GRL,2020
HRV,2019
HUN,2020
IRL,2020
ISL,2019
ISR,2020
ITA,2019
KAZ,2020
KGZ,2020
LTU,2020
LUX,2020
LVA,2017
MCO,2020
MDA,2020
MKD,2020
MLT,2020
MNE,2020
NLD,2020
NOR,2020
POL,2020
PRT,2020
ROU,2020
RUS,2020
SCG,
SMR,2019
SRB,2020
SVK,2020
SVN,2020
SWE,2020
TJK,2020
TKM,2020
TUR,2020
UKR,2020
UZB,2020
BGD,2020
BTN,2020
IDN,2020
IND,2020
LKA,2020
MDV,2020
MMR,2020
NPL,2020
PRK,2020
THA,2020
TLS,2020
ASM,2020
AUS,2020
BRN,2020
CHN,2020
COK,2020
FJI,2020
FSM,2020
GUM,2020
HKG,2020
JPN,2020
KHM,2020
KIR,2020
KOR,2020
LAO,2020
MAC,2020
MHL,2020
MNG,2020
MNP,2020
MYS,2020
NCL,2019
NIU,2020
NRU,2020
NZL,2020
PHL,2020
PLW,2020
PNG,2020
PYF,2020
SGP,2020
SLB,2020
TKL,2020
TON,2020
TUV,2020
VNM,2020
VUT,2020
WLF,2020
WSM,2020
