measure,location,sex,age,cause,metric,year,val,upper,lower
"Deaths","Global","Both","All Ages","All causes","Number",1990,46642411,47858076,45457958
"Deaths","Global","Both","All Ages","All causes","Number",1991,47161389,48482815,46009731
"Deaths","Global","Both","All Ages","All causes","Number",1992,47513983,48730231,46264572
"Deaths","Global","Both","All Ages","All causes","Number",1993,48180003,49372111,47083080
"Deaths","Global","Both","All Ages","All causes","Number",1994,49123707,50431403,47900894
"Deaths","Global","Both","All Ages","All causes","Number",1995,48977079,50152046,47879788
"Deaths","Global","Both","All Ages","All causes","Number",1996,49103425,50397413,47929128
"Deaths","Global","Both","All Ages","All causes","Number",1997,49421934,50703981,48292484
"Deaths","Global","Both","All Ages","All causes","Number",1998,49787607,50969298,48608615
"Deaths","Global","Both","All Ages","All causes","Number",1999,50342398,51595508,49172132
"Deaths","Global","Both","All Ages","All causes","Number",2000,50715994,51909581,49534631
"Deaths","Global","Both","All Ages","All causes","Number",2001,50999498,52308472,49833990
"Deaths","Global","Both","All Ages","All causes","Number",2002,51455649,52723726,50210260
"Deaths","Global","Both","All Ages","All causes","Number",2003,51702467,52983154,50432337
"Deaths","Global","Both","All Ages","All causes","Number",2004,51876807,53133666,50649714
"Deaths","Global","Both","All Ages","All causes","Number",2005,52106317,53448746,50832131
"Deaths","Global","Both","All Ages","All causes","Number",2006,51861904,53155712,50643697
"Deaths","Global","Both","All Ages","All causes","Number",2007,51883808,53153102,50651127
"Deaths","Global","Both","All Ages","All causes","Number",2008,52466775,53788756,51215856
"Deaths","Global","Both","All Ages","All causes","Number",2009,52209303,53467741,50844491
"Deaths","Global","Both","All Ages","All causes","Number",2010,52712689,54013433,51405991
"Deaths","Global","Both","All Ages","All causes","Number",2011,52696465,54206571,51333742
"Deaths","Global","Both","All Ages","All causes","Number",2012,52857643,54395462,51399777
"Deaths","Global","Both","All Ages","All causes","Number",2013,53187718,54788923,51684406
"Deaths","Global","Both","All Ages","All causes","Number",2014,53523754,55120588,51828361
"Deaths","Global","Both","All Ages","All causes","Number",2015,54099723,55863389,52507347
"Deaths","Global","Both","All Ages","All causes","Number",2016,54547586,56645240,52670133
"Deaths","Global","Both","All Ages","All causes","Number",2017,54976603,57215458,52676671
"Deaths","Global","Both","All Ages","All causes","Number",2018,55717198,58179968,53013478
"Deaths","Global","Both","All Ages","All causes","Number",2019,56526960,59205883,53742682
