measure,location,sex,age,cause,metric,year,val,upper,lower
"Deaths","Global","Both","All Ages","Drug-susceptible tuberculosis","Number",1990,1760713.9,1908321,1610857
"Deaths","Global","Both","All Ages","Drug-susceptible tuberculosis","Number",1991,1761274.1,1917962.8,1604873.8
"Deaths","Global","Both","All Ages","Drug-susceptible tuberculosis","Number",1992,1771648.1,1927853.9,1615267.2
"Deaths","Global","Both","All Ages","Drug-susceptible tuberculosis","Number",1993,1726667.5,1871487.4,1583257.7
"Deaths","Global","Both","All Ages","Drug-susceptible tuberculosis","Number",1994,1691945.8,1834356.5,1554154
"Deaths","Global","Both","All Ages","Drug-susceptible tuberculosis","Number",1995,1663246.7,1796400,1519009.1
"Deaths","Global","Both","All Ages","Drug-susceptible tuberculosis","Number",1996,1633668.6,1769189.5,1484767.6
"Deaths","Global","Both","All Ages","Drug-susceptible tuberculosis","Number",1997,1629547.7,1770499.9,1476474.8
"Deaths","Global","Both","All Ages","Drug-susceptible tuberculosis","Number",1998,1618456.9,1751546.5,1473620.4
"Deaths","Global","Both","All Ages","Drug-susceptible tuberculosis","Number",1999,1602890.6,1729674,1452992.4
"Deaths","Global","Both","All Ages","Drug-susceptible tuberculosis","Number",2000,1590060.5,1717889.6,1437364.4
"Deaths","Global","Both","All Ages","Drug-susceptible tuberculosis","Number",2001,1552505.7,1677723.5,1405671.5
"Deaths","Global","Both","All Ages","Drug-susceptible tuberculosis","Number",2002,1515611.1,1638549.6,1376445.9
"Deaths","Global","Both","All Ages","Drug-susceptible tuberculosis","Number",2003,1476363.1,1595214.2,1338704
"Deaths","Global","Both","All Ages","Drug-susceptible tuberculosis","Number",2004,1424273.9,1542812.1,1297676
"Deaths","Global","Both","All Ages","Drug-susceptible tuberculosis","Number",2005,1397121.7,1511867.8,1276692.7
"Deaths","Global","Both","All Ages","Drug-susceptible tuberculosis","Number",2006,1366368,1482002,1245592.4
"Deaths","Global","Both","All Ages","Drug-susceptible tuberculosis","Number",2007,1339315.7,1443944.4,1224184.9
"Deaths","Global","Both","All Ages","Drug-susceptible tuberculosis","Number",2008,1318249.7,1430210.9,1199469.4
"Deaths","Global","Both","All Ages","Drug-susceptible tuberculosis","Number",2009,1279988.1,1388646.7,1162744.1
"Deaths","Global","Both","All Ages","Drug-susceptible tuberculosis","Number",2010,1242036.3,1345448.1,1128175.9
"Deaths","Global","Both","All Ages","Drug-susceptible tuberculosis","Number",2011,1210512.2,1316550.3,1094083
"Deaths","Global","Both","All Ages","Drug-susceptible tuberculosis","Number",2012,1196613.6,1301881,1075111.4
"Deaths","Global","Both","All Ages","Drug-susceptible tuberculosis","Number",2013,1185490.1,1293337.4,1052930.6
"Deaths","Global","Both","All Ages","Drug-susceptible tuberculosis","Number",2014,1174230.5,1277423.6,1041992.8
"Deaths","Global","Both","All Ages","Drug-susceptible tuberculosis","Number",2015,1147968.6,1264261.5,1018119.5
"Deaths","Global","Both","All Ages","Drug-susceptible tuberculosis","Number",2016,1129678.5,1246858.2,995748.8
"Deaths","Global","Both","All Ages","Drug-susceptible tuberculosis","Number",2017,1111736.7,1235904.5,979721.39
"Deaths","Global","Both","All Ages","Drug-susceptible tuberculosis","Number",2018,1085608.3,1216287.6,952237.78
"Deaths","Global","Both","All Ages","Drug-susceptible tuberculosis","Number",2019,1061285.1,1186121.9,924214.84
"Deaths","Global","Both","All Ages","Extensively drug-resistant tuberculosis","Number",1990,0,0,0
"Deaths","Global","Both","All Ages","Extensively drug-resistant tuberculosis","Number",1991,0,0,0
"Deaths","Global","Both","All Ages","Extensively drug-resistant tuberculosis","Number",1992,0,0,0
"Deaths","Global","Both","All Ages","Extensively drug-resistant tuberculosis","Number",1993,258.28879,507.6406,110.01232
"Deaths","Global","Both","All Ages","Extensively drug-resistant tuberculosis","Number",1994,641.90483,1210.5357,288.5393
